Original Name	New Name	Seq Length	 Seq GC
UH38_RS11715_WP_045054820.1	045054820_Contig_509_Len1686	1686	47.09371293
UH38_RS10965_WP_045054708.1	045054708_Contig_3800_Len390	390	45.1282051282
UH38_RS02720_WP_045053096.1	045053096_Contig_3569_Len444	444	40.3153153153
UH38_RS23595_WP_045057161.1	045057161_Contig_592_Len1584	1584	46.148989899
UH38_RS18130_WP_045056094.1	045056094_Contig_1268_Len1158	1158	37.8238341969
UH38_RS19225_WP_045056294.1	045056294_Contig_3486_Len462	462	35.2813852814
UH38_RS13590_WP_045055200.1	045055200_Contig_2831_Len636	636	43.7106918239
UH38_RS09035_WP_045054318.1	045054318_Contig_3107_Len561	561	40.4634581105
UH38_RS10290_WP_045054574.1	045054574_Contig_4036_Len333	333	41.4414414414
UH38_RS22585_WP_045056965.1	045056965_Contig_4323_Len264	264	40.5303030303
UH38_RS20320_WP_045056511.1	045056511_Contig_3525_Len453	453	41.7218543046
UH38_RS12200_WP_045054925.1	045054925_Contig_1442_Len1077	1077	37.4187558032
UH38_RS14935_WP_045055458.1	045055458_Contig_3995_Len342	342	51.7543859649
UH38_RS24250_WP_045057288.1	045057288_Contig_2133_Len843	843	43.8908659549
UH38_RS14690_WP_045055415.1	045055415_Contig_1679_Len990	990	44.6464646465
UH38_RS13350_WP_045055157.1	045055157_Contig_3876_Len372	372	45.9677419355
UH38_RS12015_WP_045054894.1	045054894_Contig_878_Len1365	1365	44.9084249084
UH38_RS17690_WP_045056007.1	045056007_Contig_4530_Len216	216	42.1296296296
UH38_RS15815_WP_045055679.1	045055679_Contig_3169_Len543	543	41.0681399632
UH38_RS21895_WP_045056819.1	045056819_Contig_3073_Len570	570	45.0877192982
UH38_RS21190_WP_045056677.1	045056677_Contig_1830_Len936	936	48.7179487179
UH38_RS13475_WP_045055181.1	045055181_Contig_4293_Len270	270	45.9259259259
UH38_RS19845_WP_045056431.1	045056431_Contig_3473_Len465	465	41.0752688172
UH38_RS04940_WP_045053506.1	045053506_Contig_1418_Len1086	1086	45.4880294659
UH38_RS22710_WP_045056988.1	045056988_Contig_4208_Len291	291	45.0171821306
UH38_RS04050_WP_045053357.1	045053357_Contig_3924_Len357	357	45.6582633053
UH38_RS20695_WP_052672494.1	052672494_Contig_1377_Len1110	1110	50.0900900901
UH38_RS20660_WP_045056591.1	045056591_Contig_393_Len1875	1875	45.6533333333
UH38_RS24015_WP_045057242.1	045057242_Contig_2864_Len624	624	44.2307692308
UH38_RS08425_WP_045054343.1	045054343_Contig_2698_Len672	672	42.8571428571
UH38_RS23100_WP_045057065.1	045057065_Contig_4384_Len249	249	39.3574297189
UH38_RS09615_WP_045054433.1	045054433_Contig_4367_Len252	252	34.5238095238
UH38_RS08530_WP_045054226.1	045054226_Contig_3517_Len456	456	44.0789473684
UH38_RS21680_WP_045056777.1	045056777_Contig_2478_Len735	735	44.0816326531
UH38_RS16985_WP_045055872.1	045055872_Contig_1716_Len975	975	44.1025641026
UH38_RS17740_WP_045056021.1	045056021_Contig_1646_Len999	999	44.8448448448
UH38_RS10140_WP_045054547.1	045054547_Contig_2365_Len774	774	46.1240310078
UH38_RS20000_WP_045056457.1	045056457_Contig_3082_Len567	567	49.0299823633
UH38_RS11135_WP_045054723.1	045054723_Contig_4442_Len237	237	44.7257383966
UH38_RS16645_WP_045055801.1	045055801_Contig_3988_Len342	342	38.0116959064
UH38_RS06985_WP_045053917.1	045053917_Contig_697_Len1491	1491	45.0704225352
UH38_RS17640_WP_045055998.1	045055998_Contig_2724_Len663	663	44.0422322775
UH38_RS18325_WP_045056129.1	045056129_Contig_2880_Len621	621	40.9017713366
UH38_RS05425_WP_045053625.1	045053625_Contig_4565_Len210	210	35.7142857143
UH38_RS07540_WP_045054139.1	045054139_Contig_475_Len1734	1734	40.0230680507
UH38_RS14220_WP_045055380.1	045055380_Contig_3390_Len486	486	44.0329218107
UH38_RS22720_WP_045056990.1	045056990_Contig_4382_Len249	249	48.9959839357
UH38_RS19295_WP_045056305.1	045056305_Contig_4532_Len216	216	42.5925925926
UH38_RS12845_WP_045055056.1	045055056_Contig_3566_Len444	444	46.6216216216
UH38_RS09590_WP_045054428.1	045054428_Contig_2237_Len813	813	51.6605166052
UH38_RS24195_WP_045057278.1	045057278_Contig_3115_Len558	558	39.7849462366
UH38_RS10660_WP_045054639.1	045054639_Contig_4191_Len294	294	42.8571428571
UH38_RS14190_WP_045055320.1	045055320_Contig_2746_Len660	660	43.6363636364
UH38_RS10640_WP_045054636.1	045054636_Contig_1482_Len1062	1062	43.1261770245
UH38_RS11550_WP_045054793.1	045054793_Contig_1337_Len1131	1131	42.7055702918
UH38_RS14800_WP_045055433.1	045055433_Contig_3033_Len582	582	48.2817869416
UH38_RS18080_WP_045056087.1	045056087_Contig_2801_Len642	642	44.7040498442
UH38_RS19775_WP_045056419.1	045056419_Contig_2717_Len666	666	49.2492492492
UH38_RS20770_WP_045056609.1	045056609_Contig_973_Len1308	1308	38.8379204893
UH38_RS17180_WP_045055909.1	045055909_Contig_2075_Len855	855	34.7368421053
UH38_RS05750_WP_045053684.1	045053684_Contig_607_Len1569	1569	45.9528362014
UH38_RS22500_WP_045056957.1	045056957_Contig_827_Len1395	1395	46.4516129032
