Original Name	New Name	Seq Length	 Seq GC
CA727_RS23910_WP_096578434.1	096578434_Contig_6900_Len204	204	33.8235294118
CA727_RS18410_WP_096580285.1	096580285_Contig_111_Len4041	4041	41.3511507053
CA727_RS15985_WP_096581077.1	096581077_Contig_3783_Len744	744	39.3817204301
CA727_RS08080_WP_096573657.1	096573657_Contig_4674_Len564	564	33.865248227
CA727_RS04025_WP_096574326.1	096574326_Contig_4215_Len657	657	38.5083713851
CA727_RS36835_WP_096585505.1	096585505_Contig_1004_Len1674	1674	44.743130227
CA727_RS06150_WP_096573984.1	096573984_Contig_3737_Len753	753	41.0358565737
CA727_RS03630_WP_096574399.1	096574399_Contig_1141_Len1581	1581	43.8962681847
CA727_RS00935_WP_096574850.1	096574850_Contig_6503_Len252	252	35.3174603175
CA727_RS23590_WP_096578544.1	096578544_Contig_357_Len2691	2691	41.3600891862
CA727_RS22720_WP_096578846.1	096578846_Contig_6920_Len201	201	44.2786069652
CA727_RS22860_WP_045873209.1	045873209_Contig_1925_Len1218	1218	39.2446633826
CA727_RS08365_WP_096573608.1	096573608_Contig_4353_Len627	627	40.0318979266
CA727_RS00175_WP_096575090.1	096575090_Contig_6722_Len222	222	42.7927927928
CA727_RS03920_WP_096574344.1	096574344_Contig_6755_Len219	219	45.6621004566
CA727_RS36235_WP_096585280.1	096585280_Contig_238_Len3126	3126	40.6909788868
CA727_RS09015_WP_096573493.1	096573493_Contig_3460_Len810	810	35.4320987654
CA727_RS19955_WP_096579779.1	096579779_Contig_4132_Len675	675	37.9259259259
CA727_RS37315_WP_096585751.1	096585751_Contig_4814_Len543	543	49.7237569061
CA727_RS24910_WP_096578069.1	096578069_Contig_6110_Len318	318	35.534591195
CA727_RS31430_WP_045869790.1	045869790_Contig_2078_Len1173	1173	42.7109974425
CA727_RS05995_WP_096574010.1	096574010_Contig_1365_Len1440	1440	45.625
CA727_RS25440_WP_096583853.1	096583853_Contig_399_Len2583	2583	44.3670150987
CA727_RS34315_WP_096584590.1	096584590_Contig_3063_Len900	900	49.0
CA727_RS29615_WP_045870891.1	045870891_Contig_6174_Len306	306	45.4248366013
CA727_RS25340_WP_096577927.1	096577927_Contig_4826_Len540	540	40.5555555556
CA727_RS15765_WP_096581145.1	096581145_Contig_857_Len1809	1809	42.951907131
CA727_RS33785_WP_096584827.1	096584827_Contig_3164_Len876	876	35.9589041096
CA727_RS24750_WP_096578131.1	096578131_Contig_3969_Len705	705	35.8865248227
CA727_RS34730_WP_096583362.1	096583362_Contig_4589_Len582	582	43.9862542955
CA727_RS22530_WP_096578895.1	096578895_Contig_5268_Len453	453	40.8388520971
CA727_RS28780_WP_096576811.1	096576811_Contig_836_Len1830	1830	38.4153005464
CA727_RS19130_WP_045874830.1	045874830_Contig_5405_Len432	432	42.3611111111
CA727_RS04385_WP_096574267.1	096574267_Contig_1643_Len1329	1329	39.6538750941
CA727_RS24955_WP_096578051.1	096578051_Contig_595_Len2169	2169	43.6145689258
CA727_RS34605_WP_096584890.1	096584890_Contig_11_Len6711	6711	42.1993741618
CA727_RS22265_WP_096578978.1	096578978_Contig_4310_Len639	639	42.8794992175
CA727_RS23575_WP_096578550.1	096578550_Contig_5598_Len402	402	42.5373134328
CA727_RS22125_WP_096579027.1	096579027_Contig_4547_Len591	591	45.6852791878
CA727_RS30610_WP_096576228.1	096576228_Contig_1077_Len1623	1623	45.1632778805
CA727_RS19255_WP_096580020.1	096580020_Contig_2733_Len981	981	34.8623853211
CA727_RS22950_WP_096578758.1	096578758_Contig_60_Len5172	5172	45.0309358082
CA727_RS02100_WP_096574656.1	096574656_Contig_2613_Len1014	1014	42.8007889546
CA727_RS33725_WP_096575156.1	096575156_Contig_3988_Len702	702	41.0256410256
CA727_RS17925_WP_096580445.1	096580445_Contig_4359_Len627	627	45.9330143541
CA727_RS06310_WP_096573954.1	096573954_Contig_2910_Len936	936	35.8974358974
CA727_RS25140_WP_096577992.1	096577992_Contig_4453_Len609	609	38.5878489327
CA727_RS27290_WP_096577260.1	096577260_Contig_5134_Len480	480	36.25
CA727_RS33270_WP_096575299.1	096575299_Contig_2611_Len1017	1017	40.6096361849
CA727_RS36955_WP_096585664.1	096585664_Contig_6699_Len228	228	37.7192982456
CA727_RS01920_WP_096574687.1	096574687_Contig_6544_Len246	246	41.4634146341
CA727_RS00210_WP_096575079.1	096575079_Contig_2737_Len978	978	41.8200408998
CA727_RS25515_WP_096577868.1	096577868_Contig_3984_Len702	702	38.0341880342
CA727_RS17775_WP_096580489.1	096580489_Contig_1082_Len1620	1620	32.962962963
CA727_RS05675_WP_096574062.1	096574062_Contig_1979_Len1197	1197	45.3634085213
CA727_RS02185_WP_096574642.1	096574642_Contig_4373_Len624	624	44.391025641
CA727_RS36755_WP_096585565.1	096585565_Contig_4812_Len543	543	41.620626151
CA727_RS05570_WP_096574080.1	096574080_Contig_1759_Len1284	1284	46.1838006231
CA727_RS25175_WP_096577979.1	096577979_Contig_2170_Len1146	1146	32.8970331588
CA727_RS01375_WP_096574769.1	096574769_Contig_3207_Len864	864	36.4583333333
CA727_RS31275_WP_096575981.1	096575981_Contig_1852_Len1251	1251	41.3269384492
CA727_RS13630_WP_096581804.1	096581804_Contig_6785_Len216	216	52.3148148148
CA727_RS09705_WP_096573375.1	096573375_Contig_773_Len1899	1899	46.6034755134
CA727_RS32395_WP_096575610.1	096575610_Contig_76_Len4743	4743	36.8753953194
CA727_RS15065_WP_096581363.1	096581363_Contig_2238_Len1122	1122	41.4438502674
CA727_RS32790_WP_096575473.1	096575473_Contig_2344_Len1095	1095	39.4520547945
CA727_RS24670_WP_096716325.1	096716325_Contig_301_Len2865	2865	35.7417102967
CA727_RS07530_WP_096573751.1	096573751_Contig_5489_Len417	417	34.7721822542
CA727_RS15260_WP_096581301.1	096581301_Contig_997_Len1677	1677	42.5760286225
CA727_RS28650_WP_096583778.1	096583778_Contig_4028_Len696	696	39.7988505747
CA727_RS05395_WP_096574107.1	096574107_Contig_3923_Len714	714	41.7366946779
CA727_RS01815_WP_045870375.1	045870375_Contig_5141_Len477	477	45.4926624738
CA727_RS03665_WP_096574391.1	096574391_Contig_2164_Len1146	1146	41.3612565445
CA727_RS16945_WP_096580774.1	096580774_Contig_6230_Len297	297	46.1279461279
CA727_RS13550_WP_096581831.1	096581831_Contig_6936_Len198	198	40.404040404
CA727_RS18675_WP_096580201.1	096580201_Contig_5696_Len387	387	32.2997416021
CA727_RS21645_WP_096579194.1	096579194_Contig_1212_Len1530	1530	43.2026143791
CA727_RS06395_WP_096573938.1	096573938_Contig_6379_Len270	270	42.962962963
CA727_RS06085_WP_096573994.1	096573994_Contig_1337_Len1455	1455	43.3676975945
CA727_RS26890_WP_096577398.1	096577398_Contig_666_Len2058	2058	44.0719144801
CA727_RS27015_WP_096577355.1	096577355_Contig_3857_Len729	729	39.9176954733
CA727_RS23020_WP_096578730.1	096578730_Contig_1515_Len1383	1383	36.9486623283
CA727_RS12025_WP_096582351.1	096582351_Contig_6125_Len315	315	40.0
CA727_RS19805_WP_096579821.1	096579821_Contig_2789_Len966	966	47.4120082816
CA727_RS26425_WP_096577563.1	096577563_Contig_1176_Len1557	1557	41.4258188825
CA727_RS20405_WP_096579620.1	096579620_Contig_5581_Len405	405	46.9135802469
CA727_RS32690_WP_096716352.1	096716352_Contig_7090_Len156	156	43.5897435897
