Original Name	New Name	Seq Length	 Seq GC
BC008_RS04905_WP_027846556.1	027846556_Contig_1782_Len1476	1476	42.9539295393
BC008_RS24365_WP_027843657.1	027843657_Contig_1330_Len1704	1704	41.1384976526
BC008_RS30725_WP_027846389.1	027846389_Contig_6128_Len579	579	42.8324697755
BC008_RS09760_WP_027845630.1	027845630_Contig_6309_Len546	546	40.1098901099
BC008_RS41970_WP_027846889.1	027846889_Contig_1038_Len1932	1932	36.6459627329
BC008_RS08385_WP_058183420.1	058183420_Contig_7496_Len369	369	39.2953929539
BC008_RS03965_WP_027846605.1	027846605_Contig_7335_Len390	390	41.2820512821
BC008_RS12985_WP_027843307.1	027843307_Contig_6756_Len477	477	37.5262054507
BC008_RS10650_WP_027845956.1	027845956_Contig_8267_Len249	249	38.1526104418
BC008_RS37595_WP_058184486.1	058184486_Contig_2414_Len1290	1290	31.4728682171
BC008_RS00050_WP_027842772.1	027842772_Contig_2437_Len1281	1281	41.8423106948
BC008_RS08380_WP_027846528.1	027846528_Contig_5856_Len618	618	35.9223300971
BC008_RS41310_WP_027843627.1	027843627_Contig_4093_Len912	912	39.2543859649
BC008_RS20505_WP_082650591.1	082650591_Contig_8659_Len198	198	36.8686868687
BC008_RS32590_WP_058184221.1	058184221_Contig_3507_Len1035	1035	35.1690821256
BC008_RS25830_WP_027843108.1	027843108_Contig_4663_Len819	819	42.6129426129
BC008_RS18115_WP_036264502.1	036264502_Contig_2139_Len1368	1368	37.5730994152
BC008_RS18615_WP_027843914.1	027843914_Contig_1421_Len1650	1650	35.9393939394
BC008_RS32870_WP_082650690.1	082650690_Contig_7685_Len342	342	40.350877193
BC008_RS17520_WP_027842939.1	027842939_Contig_8121_Len270	270	32.5925925926
BC008_RS14950_WP_036265123.1	036265123_Contig_2417_Len1287	1287	42.0357420357
BC008_RS09285_WP_082650522.1	082650522_Contig_7612_Len351	351	35.8974358974
BC008_RS36215_WP_027841274.1	027841274_Contig_8424_Len228	228	34.649122807
BC008_RS28540_WP_027842174.1	027842174_Contig_5542_Len666	666	39.1891891892
BC008_RS05765_WP_027841436.1	027841436_Contig_4860_Len783	783	41.251596424
BC008_RS41615_WP_036264478.1	036264478_Contig_5585_Len660	660	39.5454545455
BC008_RS25290_WP_027841455.1	027841455_Contig_7161_Len417	417	37.8896882494
BC008_RS40360_WP_027845720.1	027845720_Contig_2946_Len1161	1161	38.5012919897
BC008_RS13315_WP_027845444.1	027845444_Contig_545_Len2463	2463	39.5858708892
BC008_RS16955_WP_027840175.1	027840175_Contig_7152_Len417	417	37.6498800959
BC008_RS45690_WP_063800747.1	063800747_Contig_8862_Len138	138	37.6811594203
BC008_RS24290_WP_027842867.1	027842867_Contig_1285_Len1734	1734	37.139561707
BC008_RS07995_WP_058183412.1	058183412_Contig_5821_Len624	624	41.9871794872
BC008_RS16550_WP_027843555.1	027843555_Contig_5482_Len675	675	42.8148148148
BC008_RS21400_WP_058183776.1	058183776_Contig_437_Len2673	2673	36.3636363636
BC008_RS31055_WP_036265829.1	036265829_Contig_2388_Len1296	1296	38.9660493827
BC008_RS03465_WP_027842505.1	027842505_Contig_7239_Len405	405	37.7777777778
BC008_RS40450_WP_027845982.1	027845982_Contig_1247_Len1758	1758	39.1353811149
BC008_RS08865_WP_058183439.1	058183439_Contig_7934_Len303	303	44.8844884488
BC008_RS29580_WP_027841916.1	027841916_Contig_6500_Len519	519	34.2967244701
BC008_RS33490_WP_027845048.1	027845048_Contig_2247_Len1341	1341	34.3773303505
BC008_RS34220_WP_058184155.1	058184155_Contig_8280_Len249	249	37.3493975904
BC008_RS47545_WP_082650581.1	082650581_Contig_2569_Len1248	1248	32.6121794872
BC008_RS38120_WP_027845189.1	027845189_Contig_2399_Len1293	1293	39.1337973705
BC008_RS38225_WP_027845872.1	027845872_Contig_6373_Len537	537	38.9199255121
BC008_RS37085_WP_036265145.1	036265145_Contig_3595_Len1014	1014	41.0256410256
BC008_RS14065_WP_036265709.1	036265709_Contig_3496_Len1038	1038	34.4894026975
BC008_RS43600_WP_027844942.1	027844942_Contig_7112_Len423	423	42.31678487
BC008_RS31555_WP_027842430.1	027842430_Contig_7798_Len327	327	40.0611620795
BC008_RS26600_WP_027845931.1	027845931_Contig_6434_Len528	528	37.1212121212
BC008_RS15750_WP_058183656.1	058183656_Contig_279_Len3090	3090	40.8414239482
BC008_RS36970_WP_027846701.1	027846701_Contig_4228_Len891	891	39.3939393939
BC008_RS26635_WP_058182957.1	058182957_Contig_2154_Len1365	1365	40.8058608059
BC008_RS44840_WP_058184867.1	058184867_Contig_6725_Len483	483	36.231884058
BC008_RS03925_WP_058183178.1	058183178_Contig_6977_Len444	444	35.1351351351
BC008_RS24280_WP_027842865.1	027842865_Contig_4978_Len771	771	40.46692607
BC008_RS04525_WP_027844952.1	027844952_Contig_481_Len2586	2586	38.4764114462
BC008_RS10130_WP_027843380.1	027843380_Contig_5389_Len693	693	33.4776334776
BC008_RS28385_WP_027845139.1	027845139_Contig_4899_Len780	780	41.6666666667
BC008_RS14060_WP_036265708.1	036265708_Contig_7467_Len372	372	39.5161290323
BC008_RS18020_WP_027841029.1	027841029_Contig_3533_Len1026	1026	37.7192982456
BC008_RS25565_WP_058184011.1	058184011_Contig_6885_Len462	462	37.8787878788
BC008_RS10770_WP_027844562.1	027844562_Contig_366_Len2796	2796	37.5894134478
BC008_RS43685_WP_027845367.1	027845367_Contig_4958_Len774	774	38.3720930233
BC008_RS45830_WP_082650645.1	082650645_Contig_1538_Len1596	1596	45.1127819549
BC008_RS31975_WP_058184207.1	058184207_Contig_2292_Len1329	1329	34.0105342363
BC008_RS24190_WP_027842833.1	027842833_Contig_7735_Len336	336	41.369047619
BC008_RS10750_WP_058183521.1	058183521_Contig_6981_Len444	444	42.3423423423
BC008_RS32105_WP_027842216.1	027842216_Contig_5654_Len648	648	39.3518518519
BC008_RS32700_WP_058184227.1	058184227_Contig_334_Len2892	2892	39.6265560166
BC008_RS24925_WP_027845236.1	027845236_Contig_1816_Len1467	1467	34.3558282209
BC008_RS30830_WP_027845305.1	027845305_Contig_7818_Len324	324	37.3456790123
BC008_RS16205_WP_058183673.1	058183673_Contig_4216_Len891	891	41.975308642
BC008_RS16270_WP_027842478.1	027842478_Contig_3170_Len1104	1104	41.847826087
BC008_RS01795_WP_027846250.1	027846250_Contig_8015_Len288	288	41.3194444444
BC008_RS34200_WP_027844960.1	027844960_Contig_6049_Len591	591	41.116751269
BC008_RS37215_WP_027843873.1	027843873_Contig_1307_Len1722	1722	37.8629500581
BC008_RS14705_WP_027845545.1	027845545_Contig_8475_Len219	219	37.899543379
BC008_RS14710_WP_027845546.1	027845546_Contig_7340_Len390	390	38.2051282051
BC008_RS17375_WP_082650575.1	082650575_Contig_843_Len2124	2124	36.8644067797
BC008_RS19680_WP_058183775.1	058183775_Contig_8479_Len219	219	36.0730593607
BC008_RS31910_WP_027844636.1	027844636_Contig_3323_Len1071	1071	42.8571428571
BC008_RS18925_WP_027845417.1	027845417_Contig_1805_Len1470	1470	43.6734693878
BC008_RS24425_WP_058183954.1	058183954_Contig_206_Len3321	3321	37.5489310449
BC008_RS03360_WP_058183119.1	058183119_Contig_2442_Len1281	1281	33.6455893833
BC008_RS04430_WP_027843023.1	027843023_Contig_4017_Len924	924	35.7142857143
BC008_RS20180_WP_027842678.1	027842678_Contig_2799_Len1188	1188	42.7609427609
BC008_RS39765_WP_027841748.1	027841748_Contig_5545_Len666	666	40.0900900901
BC008_RS42130_WP_027845939.1	027845939_Contig_2638_Len1230	1230	36.8292682927
BC008_RS28600_WP_027842164.1	027842164_Contig_5530_Len669	669	37.8176382661
BC008_RS05160_WP_027846813.1	027846813_Contig_8680_Len195	195	37.4358974359
BC008_RS18775_WP_027847055.1	027847055_Contig_5747_Len636	636	39.465408805
BC008_RS38295_WP_027843786.1	027843786_Contig_5658_Len648	648	37.8086419753
BC008_RS08195_WP_058183403.1	058183403_Contig_7835_Len321	321	34.5794392523
BC008_RS31980_WP_058184208.1	058184208_Contig_3962_Len942	942	36.093418259
BC008_RS27975_WP_027844167.1	027844167_Contig_1345_Len1692	1692	40.2482269504
BC008_RS34185_WP_027844963.1	027844963_Contig_6636_Len495	495	44.8484848485
BC008_RS32385_WP_027842156.1	027842156_Contig_4795_Len795	795	44.0251572327
BC008_RS23940_WP_058183932.1	058183932_Contig_4268_Len885	885	39.6610169492
BC008_RS39925_WP_027841725.1	027841725_Contig_2090_Len1383	1383	33.0441070137
BC008_RS05670_WP_027841418.1	027841418_Contig_3357_Len1062	1062	42.2787193974
BC008_RS20450_WP_027844776.1	027844776_Contig_8182_Len261	261	36.0153256705
BC008_RS33105_WP_036268663.1	036268663_Contig_5079_Len750	750	35.8666666667
BC008_RS34510_WP_027844267.1	027844267_Contig_2354_Len1311	1311	40.1983218917
BC008_RS27740_WP_027844953.1	027844953_Contig_3747_Len984	984	38.9227642276
BC008_RS33325_WP_027842553.1	027842553_Contig_901_Len2070	2070	42.8502415459
BC008_RS32275_WP_058184210.1	058184210_Contig_7430_Len378	378	38.8888888889
BC008_RS12455_WP_027842246.1	027842246_Contig_4607_Len828	828	41.1835748792
BC008_RS32960_WP_027843163.1	027843163_Contig_1660_Len1530	1530	44.0522875817
BC008_RS32500_WP_063800841.1	063800841_Contig_1894_Len1446	1446	37.1369294606
BC008_RS40465_WP_027845979.1	027845979_Contig_4649_Len822	822	39.0510948905
BC008_RS29035_WP_027845068.1	027845068_Contig_8739_Len189	189	39.1534391534
