Original Name	New Name	Seq Length	 Seq GC
C7B77_RS12760_WP_106305084.1	106305084_Contig_1758_Len951	951	47.3186119874
C7B77_RS03320_WP_106300302.1	106300302_Contig_1612_Len1008	1008	50.8928571429
C7B77_RS15545_WP_106306542.1	106306542_Contig_1601_Len1014	1014	48.6193293886
C7B77_RS04555_WP_106300751.1	106300751_Contig_464_Len1725	1725	48.5797101449
C7B77_RS22825_WP_106310317.1	106310317_Contig_1041_Len1248	1248	51.5224358974
C7B77_RS19620_WP_106308677.1	106308677_Contig_2300_Len783	783	43.6781609195
C7B77_RS03990_WP_106300547.1	106300547_Contig_240_Len2253	2253	42.8317798491
C7B77_RS05770_WP_106301336.1	106301336_Contig_549_Len1605	1605	47.1651090343
C7B77_RS04960_WP_106300914.1	106300914_Contig_1400_Len1095	1095	41.4611872146
C7B77_RS00065_WP_106299280.1	106299280_Contig_232_Len2274	2274	49.1204925242
C7B77_RS19990_WP_106308876.1	106308876_Contig_344_Len1932	1932	51.0351966874
C7B77_RS27400_WP_106312503.1	106312503_Contig_4236_Len360	360	53.6111111111
C7B77_RS21700_WP_106309754.1	106309754_Contig_3396_Len528	528	38.6363636364
C7B77_RS20455_WP_106309108.1	106309108_Contig_3591_Len483	483	47.8260869565
C7B77_RS16025_WP_106306799.1	106306799_Contig_1480_Len1062	1062	47.6459510358
C7B77_RS21215_WP_106309509.1	106309509_Contig_212_Len2340	2340	45.5128205128
C7B77_RS12875_WP_106305134.1	106305134_Contig_1812_Len933	933	44.0514469453
C7B77_RS15200_WP_106306346.1	106306346_Contig_3360_Len534	534	44.7565543071
C7B77_RS23120_WP_106310462.1	106310462_Contig_1605_Len1011	1011	40.8506429278
C7B77_RS23825_WP_106310757.1	106310757_Contig_2087_Len849	849	48.5276796231
C7B77_RS18945_WP_106308310.1	106308310_Contig_3698_Len462	462	43.5064935065
C7B77_RS00260_WP_106299316.1	106299316_Contig_1964_Len882	882	45.2380952381
C7B77_RS24630_WP_106311142.1	106311142_Contig_2043_Len861	861	45.0638792102
C7B77_RS28750_WP_106313126.1	106313126_Contig_2893_Len639	639	48.6697965571
C7B77_RS06935_WP_106301981.1	106301981_Contig_2088_Len849	849	50.8833922261
C7B77_RS26010_WP_106311824.1	106311824_Contig_4053_Len393	393	46.5648854962
C7B77_RS20150_WP_106308961.1	106308961_Contig_2800_Len660	660	53.3333333333
C7B77_RS26290_WP_106311948.1	106311948_Contig_2627_Len699	699	47.3533619456
C7B77_RS21630_WP_106309720.1	106309720_Contig_4207_Len366	366	46.9945355191
C7B77_RS10590_WP_106303888.1	106303888_Contig_3123_Len588	588	32.4829931973
C7B77_RS04525_WP_106300763.1	106300763_Contig_1159_Len1194	1194	40.4522613065
C7B77_RS22105_WP_106309950.1	106309950_Contig_3506_Len501	501	46.1077844311
C7B77_RS06860_WP_106301935.1	106301935_Contig_58_Len3594	3594	43.4056761269
C7B77_RS17055_WP_106307339.1	106307339_Contig_5156_Len180	180	46.6666666667
C7B77_RS03030_WP_106300193.1	106300193_Contig_2880_Len642	642	47.0404984424
