Original Name	New Name	Seq Length	 Seq GC
GKIL_RS22510_WP_051382728.1	051382728_Contig_3123_Len519	519	38.1502890173
GKIL_RS15155_WP_081705270.1	081705270_Contig_1620_Len1008	1008	58.8293650794
GKIL_RS06915_WP_023172763.1	023172763_Contig_1917_Len900	900	64.5555555556
GKIL_RS23055_WP_023175705.1	023175705_Contig_2174_Len810	810	64.3209876543
GKIL_RS05040_WP_023172352.1	023172352_Contig_3520_Len411	411	49.1484184915
GKIL_RS08545_WP_023173126.1	023173126_Contig_23_Len3906	3906	49.4879672299
GKIL_RS15850_WP_023174763.1	023174763_Contig_244_Len2196	2196	61.247723133
GKIL_RS23930_WP_023175764.1	023175764_Contig_4322_Len159	159	57.8616352201
GKIL_RS08760_WP_023173174.1	023173174_Contig_62_Len3150	3150	61.4285714286
GKIL_RS19410_WP_023175557.1	023175557_Contig_836_Len1377	1377	62.2367465505
GKIL_RS20710_WP_023175845.1	023175845_Contig_1835_Len930	930	62.688172043
GKIL_RS14725_WP_023174503.1	023174503_Contig_3849_Len321	321	60.4361370717
GKIL_RS22360_WP_023172466.1	023172466_Contig_243_Len2196	2196	61.0655737705
GKIL_RS14335_WP_023174406.1	023174406_Contig_2002_Len870	870	48.7356321839
GKIL_RS20735_WP_023175851.1	023175851_Contig_178_Len2388	2388	64.7403685092
GKIL_RS15050_WP_041244839.1	041244839_Contig_3027_Len549	549	62.2950819672
GKIL_RS09110_WP_023173244.1	023173244_Contig_889_Len1347	1347	66.3697104677
GKIL_RS22390_WP_023172593.1	023172593_Contig_2329_Len756	756	62.6984126984
GKIL_RS04350_WP_023172202.1	023172202_Contig_1629_Len1002	1002	63.0738522954
GKIL_RS07315_WP_023172854.1	023172854_Contig_393_Len1842	1842	57.8718783931
GKIL_RS17580_WP_023175153.1	023175153_Contig_1427_Len1080	1080	56.7592592593
GKIL_RS07475_WP_023172889.1	023172889_Contig_854_Len1365	1365	67.032967033
GKIL_RS15715_WP_023174730.1	023174730_Contig_555_Len1638	1638	62.0268620269
GKIL_RS11310_WP_023173738.1	023173738_Contig_1806_Len939	939	62.4068157614
GKIL_RS20260_WP_023175742.1	023175742_Contig_2609_Len666	666	66.0660660661
GKIL_RS19505_WP_023175579.1	023175579_Contig_985_Len1290	1290	65.5813953488
GKIL_RS02625_WP_023171823.1	023171823_Contig_2660_Len648	648	51.6975308642
GKIL_RS24065_WP_041243679.1	041243679_Contig_3728_Len357	357	61.3445378151
GKIL_RS02950_WP_023171897.1	023171897_Contig_3833_Len324	324	54.9382716049
GKIL_RS11055_WP_023173676.1	023173676_Contig_2648_Len654	654	55.6574923547
GKIL_RS12180_WP_023173923.1	023173923_Contig_830_Len1380	1380	64.6376811594
GKIL_RS16695_WP_023174960.1	023174960_Contig_1744_Len963	963	60.5399792316
GKIL_RS16555_WP_041244918.1	041244918_Contig_229_Len2226	2226	63.2075471698
GKIL_RS07520_WP_023172899.1	023172899_Contig_3582_Len396	396	58.5858585859
GKIL_RS15175_WP_023174603.1	023174603_Contig_38_Len3477	3477	59.4765602531
GKIL_RS02470_WP_023171789.1	023171789_Contig_2677_Len645	645	64.8062015504
GKIL_RS10890_WP_023173637.1	023173637_Contig_4087_Len255	255	61.568627451
GKIL_RS16925_WP_023175013.1	023175013_Contig_2129_Len831	831	59.3261131167
GKIL_RS05490_WP_081705175.1	081705175_Contig_529_Len1662	1662	63.6582430806
GKIL_RS10130_WP_023173458.1	023173458_Contig_163_Len2436	2436	64.2036124795
GKIL_RS16210_WP_023174851.1	023174851_Contig_68_Len3108	3108	64.157014157
GKIL_RS22350_WP_023172434.1	023172434_Contig_610_Len1575	1575	61.7777777778
GKIL_RS20200_WP_023175730.1	023175730_Contig_3532_Len411	411	59.8540145985
GKIL_RS01245_WP_023171517.1	023171517_Contig_2260_Len777	777	63.5778635779
GKIL_RS04325_WP_023172197.1	023172197_Contig_263_Len2136	2136	60.7677902622
GKIL_RS17925_WP_023175231.1	023175231_Contig_141_Len2538	2538	62.9235618597
GKIL_RS20415_WP_023175773.1	023175773_Contig_2336_Len756	756	61.2433862434
GKIL_RS06980_WP_023172779.1	023172779_Contig_2030_Len861	861	48.6643437863
GKIL_RS21900_WP_081705344.1	081705344_Contig_383_Len1860	1860	68.3870967742
GKIL_RS01420_WP_023171556.1	023171556_Contig_2086_Len846	846	60.401891253
GKIL_RS00705_WP_023171396.1	023171396_Contig_814_Len1392	1392	58.8362068966
GKIL_RS16835_WP_023174994.1	023174994_Contig_3679_Len372	372	61.5591397849
GKIL_RS10630_WP_023173579.1	023173579_Contig_1633_Len1002	1002	63.6726546906
GKIL_RS17115_WP_023175054.1	023175054_Contig_3831_Len327	327	59.6330275229
GKIL_RS17025_WP_023175036.1	023175036_Contig_1593_Len1017	1017	67.7482792527
GKIL_RS18550_WP_023175367.1	023175367_Contig_1775_Len954	954	55.8700209644
GKIL_RS19160_WP_023175501.1	023175501_Contig_1970_Len882	882	53.7414965986
GKIL_RS08280_WP_041244536.1	041244536_Contig_1723_Len969	969	61.3003095975
GKIL_RS00115_WP_023171253.1	023171253_Contig_2061_Len852	852	61.1502347418
GKIL_RS00595_WP_023171368.1	023171368_Contig_2036_Len858	858	65.1515151515
GKIL_RS14280_WP_041243968.1	041243968_Contig_1383_Len1095	1095	61.00456621
GKIL_RS15460_WP_023174673.1	023174673_Contig_1062_Len1251	1251	50.8393285372
GKIL_RS15355_WP_023174644.1	023174644_Contig_187_Len2358	2358	64.3341815098
GKIL_RS20235_WP_023175737.1	023175737_Contig_2487_Len705	705	62.8368794326
GKIL_RS11885_WP_023173867.1	023173867_Contig_1373_Len1098	1098	64.9362477231
GKIL_RS11210_WP_041243897.1	041243897_Contig_2594_Len669	669	62.4813153961
GKIL_RS19750_WP_023175631.1	023175631_Contig_3612_Len390	390	57.4358974359
GKIL_RS09025_WP_023173227.1	023173227_Contig_4161_Len228	228	59.2105263158
GKIL_RS14355_WP_023174413.1	023174413_Contig_3583_Len396	396	64.6464646465
GKIL_RS18840_WP_023175433.1	023175433_Contig_1584_Len1020	1020	61.9607843137
GKIL_RS05235_WP_023172390.1	023172390_Contig_4110_Len246	246	61.3821138211
GKIL_RS24300_WP_081705292.1	081705292_Contig_3926_Len303	303	57.7557755776
GKIL_RS03365_WP_023171990.1	023171990_Contig_40_Len3462	3462	62.9404968226
GKIL_RS24340_WP_081705343.1	081705343_Contig_1059_Len1254	1254	44.0988835726
GKIL_RS12685_WP_023174031.1	023174031_Contig_2845_Len597	597	64.9916247906
GKIL_RS24220_WP_051382817.1	051382817_Contig_2779_Len618	618	69.5792880259
GKIL_RS07565_WP_023172911.1	023172911_Contig_1949_Len888	888	60.1351351351
GKIL_RS22550_WP_081705209.1	081705209_Contig_2286_Len771	771	61.2191958495
GKIL_RS07490_WP_023172893.1	023172893_Contig_767_Len1431	1431	63.0328441649
GKIL_RS17755_WP_023175191.1	023175191_Contig_1422_Len1083	1083	59.2797783934
GKIL_RS12635_WP_023174019.1	023174019_Contig_3404_Len444	444	62.3873873874
GKIL_RS14930_WP_023173055.1	023173055_Contig_763_Len1434	1434	62.5523012552
GKIL_RS06815_WP_041243783.1	041243783_Contig_3904_Len309	309	44.9838187702
GKIL_RS01650_WP_023171606.1	023171606_Contig_1233_Len1161	1161	63.4797588286
GKIL_RS20180_WP_071824842.1	071824842_Contig_1336_Len1116	1116	61.917562724
GKIL_RS07450_WP_023172883.1	023172883_Contig_2303_Len765	765	63.2679738562
GKIL_RS18415_WP_023175336.1	023175336_Contig_3372_Len453	453	55.6291390728
GKIL_RS12535_WP_023174002.1	023174002_Contig_69_Len3102	3102	61.1218568665
GKIL_RS07045_WP_023172795.1	023172795_Contig_1323_Len1122	1122	63.7254901961
GKIL_RS10090_WP_041243872.1	041243872_Contig_3952_Len291	291	45.704467354
GKIL_RS07860_WP_023172976.1	023172976_Contig_1809_Len936	936	60.2564102564
GKIL_RS11920_WP_023173875.1	023173875_Contig_758_Len1437	1437	62.3521224774
GKIL_RS17605_WP_023175160.1	023175160_Contig_3601_Len393	393	64.3765903308
GKIL_RS11100_WP_023173686.1	023173686_Contig_3283_Len474	474	57.3839662447
GKIL_RS10290_WP_041244625.1	041244625_Contig_167_Len2427	2427	63.7412443346
GKIL_RS20185_WP_023175726.1	023175726_Contig_264_Len2136	2136	62.2191011236
GKIL_RS18350_WP_023175317.1	023175317_Contig_3878_Len315	315	63.1746031746
GKIL_RS18650_WP_023175390.1	023175390_Contig_3814_Len333	333	57.957957958
GKIL_RS00015_WP_023171233.1	023171233_Contig_2006_Len867	867	64.5905420992
GKIL_RS08520_WP_081705205.1	081705205_Contig_563_Len1629	1629	60.8348680172
