Original Name	New Name	Seq Length	 Seq GC
QQ91_RS38375_WP_072041259.1	072041259_Contig_5004_Len426	426	55.1643192488
QQ91_RS19685_WP_039726118.1	039726118_Contig_4871_Len444	444	54.954954955
QQ91_RS29045_WP_039727970.1	039727970_Contig_6145_Len213	213	55.8685446009
QQ91_RS16145_WP_039725530.1	039725530_Contig_1279_Len1296	1296	58.2561728395
QQ91_RS06495_WP_084606830.1	084606830_Contig_627_Len1692	1692	69.1489361702
QQ91_RS01810_WP_039722774.1	039722774_Contig_4969_Len432	432	65.7407407407
QQ91_RS26695_WP_039727431.1	039727431_Contig_6206_Len201	201	59.2039800995
QQ91_RS10820_WP_084606884.1	084606884_Contig_4518_Len504	504	52.9761904762
QQ91_RS17725_WP_039725778.1	039725778_Contig_2490_Len918	918	56.7538126362
QQ91_RS37675_WP_052288635.1	052288635_Contig_2209_Len993	993	53.5750251762
QQ91_RS34500_WP_052288656.1	052288656_Contig_2339_Len957	957	45.2455590387
QQ91_RS07130_WP_039723806.1	039723806_Contig_918_Len1470	1470	60.612244898
QQ91_RS23400_WP_039726727.1	039726727_Contig_746_Len1587	1587	56.4587271582
QQ91_RS15160_WP_039725383.1	039725383_Contig_3230_Len756	756	51.9841269841
QQ91_RS25935_WP_039727299.1	039727299_Contig_2922_Len822	822	54.3795620438
QQ91_RS31845_WP_039728518.1	039728518_Contig_1683_Len1146	1146	52.9668411867
QQ91_RS28785_WP_039727924.1	039727924_Contig_4202_Len567	567	44.7971781305
QQ91_RS35275_WP_039729180.1	039729180_Contig_2371_Len948	948	49.0506329114
QQ91_RS11510_WP_039724953.1	039724953_Contig_2935_Len819	819	59.0964590965
QQ91_RS36930_WP_052288250.1	052288250_Contig_71_Len3414	3414	59.9297012302
QQ91_RS05690_WP_084606818.1	084606818_Contig_2718_Len870	870	67.1264367816
QQ91_RS25565_WP_039727225.1	039727225_Contig_1092_Len1386	1386	59.3073593074
QQ91_RS09880_WP_052288092.1	052288092_Contig_2181_Len999	999	67.0670670671
QQ91_RS22930_WP_084607049.1	084607049_Contig_1556_Len1191	1191	51.637279597
QQ91_RS36955_WP_052288264.1	052288264_Contig_341_Len2100	2100	60.4285714286
QQ91_RS24990_WP_084607230.1	084607230_Contig_3919_Len618	618	54.6925566343
QQ91_RS01330_WP_072041230.1	072041230_Contig_2456_Len927	927	53.9374325782
QQ91_RS37835_WP_039723001.1	039723001_Contig_3170_Len769	769	56.3068920676
QQ91_RS30510_WP_039728239.1	039728239_Contig_2614_Len891	891	59.8204264871
QQ91_RS08745_WP_063776127.1	063776127_Contig_2519_Len915	915	67.650273224
QQ91_RS21165_WP_039726352.1	039726352_Contig_6375_Len90	90	50.0
QQ91_RS35395_WP_039729202.1	039729202_Contig_476_Len1875	1875	58.3466666667
QQ91_RS00690_WP_052287821.1	052287821_Contig_1406_Len1251	1251	56.9144684253
