Original Name	New Name	Seq Length	 Seq GC
CA723_RS05300_WP_096576611.1	096576611_Contig_5230_Len267	267	36.329588015
CA723_RS02830_WP_096575768.1	096575768_Contig_727_Len1689	1689	43.8721136767
CA723_RS21085_WP_096582105.1	096582105_Contig_40_Len4731	4731	41.4500105686
CA723_RS20570_WP_096581933.1	096581933_Contig_3119_Len729	729	45.6790123457
CA723_RS05320_WP_096576619.1	096576619_Contig_1679_Len1152	1152	36.5451388889
CA723_RS06680_WP_096577125.1	096577125_Contig_1874_Len1083	1083	48.6611265005
CA723_RS14790_WP_096579924.1	096579924_Contig_3042_Len747	747	40.9638554217
CA723_RS22995_WP_096582777.1	096582777_Contig_3343_Len675	675	45.6296296296
CA723_RS15285_WP_096580101.1	096580101_Contig_3651_Len600	600	42.5
CA723_RS04795_WP_096576443.1	096576443_Contig_1392_Len1269	1269	45.7052797478
CA723_RS28395_WP_096585914.1	096585914_Contig_1808_Len1110	1110	41.5315315315
CA723_RS26180_WP_096583862.1	096583862_Contig_848_Len1593	1593	44.4444444444
CA723_RS04380_WP_096576296.1	096576296_Contig_2597_Len861	861	38.3275261324
CA723_RS06745_WP_096577150.1	096577150_Contig_936_Len1512	1512	42.5925925926
CA723_RS24695_WP_096583376.1	096583376_Contig_2852_Len795	795	44.2767295597
CA723_RS22750_WP_096582691.1	096582691_Contig_579_Len1908	1908	45.0209643606
CA723_RS29995_WP_096586144.1	096586144_Contig_4896_Len345	345	36.231884058
CA723_RS15440_WP_096580157.1	096580157_Contig_2563_Len873	873	34.5933562428
CA723_RS29245_WP_096586051.1	096586051_Contig_2092_Len1011	1011	44.31256182
CA723_RS12930_WP_096579282.1	096579282_Contig_4566_Len408	408	38.9705882353
CA723_RS16630_WP_096580578.1	096580578_Contig_349_Len2304	2304	42.7951388889
CA723_RS21075_WP_096582101.1	096582101_Contig_5406_Len237	237	43.0379746835
CA723_RS06335_WP_096576984.1	096576984_Contig_1505_Len1212	1212	37.6237623762
CA723_RS05570_WP_096576713.1	096576713_Contig_3137_Len723	723	44.1217150761
CA723_RS09935_WP_096578284.1	096578284_Contig_2720_Len828	828	39.9758454106
CA723_RS24225_WP_096583206.1	096583206_Contig_4767_Len372	372	36.5591397849
CA723_RS23775_WP_096583053.1	096583053_Contig_1822_Len1101	1101	41.689373297
CA723_RS29780_WP_096586121.1	096586121_Contig_2093_Len1011	1011	40.4549950544
CA723_RS13095_WP_096579340.1	096579340_Contig_3996_Len531	531	38.0414312618
CA723_RS01480_WP_096575356.1	096575356_Contig_2231_Len966	966	35.7142857143
CA723_RS14570_WP_096579844.1	096579844_Contig_2544_Len879	879	41.9795221843
CA723_RS19875_WP_096581693.1	096581693_Contig_7_Len6036	6036	43.605036448
CA723_RS17915_WP_096581006.1	096581006_Contig_3667_Len597	597	41.7085427136
CA723_RS00525_WP_096575013.1	096575013_Contig_1598_Len1179	1179	38.5072094996
CA723_RS27865_WP_096584621.1	096584621_Contig_3333_Len678	678	43.3628318584
CA723_RS25000_WP_096583474.1	096583474_Contig_121_Len3279	3279	42.7569380909
CA723_RS10365_WP_096578416.1	096578416_Contig_2200_Len975	975	42.4615384615
CA723_RS19620_WP_096581605.1	096581605_Contig_4601_Len402	402	33.8308457711
CA723_RS07720_WP_096577505.1	096577505_Contig_2209_Len972	972	42.3868312757
CA723_RS14050_WP_096579666.1	096579666_Contig_1750_Len1131	1131	35.1900972591
CA723_RS08590_WP_096577818.1	096577818_Contig_4790_Len366	366	42.349726776
CA723_RS01005_WP_096575187.1	096575187_Contig_1123_Len1398	1398	43.6337625179
CA723_RS17570_WP_096580892.1	096580892_Contig_736_Len1683	1683	40.3446226976
CA723_RS07895_WP_096577564.1	096577564_Contig_5481_Len222	222	39.6396396396
CA723_RS21680_WP_096582324.1	096582324_Contig_3292_Len687	687	43.8136826783
CA723_RS18790_WP_096581304.1	096581304_Contig_3581_Len618	618	39.4822006472
CA723_RS01430_WP_096575336.1	096575336_Contig_1287_Len1320	1320	38.4848484848
CA723_RS21940_WP_096582422.1	096582422_Contig_3585_Len618	618	36.7313915858
CA723_RS21860_WP_096582392.1	096582392_Contig_3629_Len606	606	43.399339934
CA723_RS28880_WP_096575183.1	096575183_Contig_1218_Len1353	1353	34.0724316334
CA723_RS10670_WP_096578521.1	096578521_Contig_5184_Len276	276	35.1449275362
CA723_RS15315_WP_096580109.1	096580109_Contig_2211_Len972	972	45.0617283951
CA723_RS10285_WP_015115280.1	015115280_Contig_5326_Len249	249	42.1686746988
CA723_RS22810_WP_096582715.1	096582715_Contig_3779_Len576	576	36.2847222222
