Original Name	New Name	Seq Length	 Seq GC
AFK68_RS12945_WP_094673176.1	094673176_Contig_4986_Len216	216	31.0185185185
AFK68_RS13225_WP_094673214.1	094673214_Contig_997_Len1314	1314	43.5312024353
AFK68_RS18810_WP_094674101.1	094674101_Contig_4051_Len372	372	26.6129032258
AFK68_RS01090_WP_094670956.1	094670956_Contig_1402_Len1107	1107	31.4363143631
AFK68_RS19575_WP_094674343.1	094674343_Contig_765_Len1476	1476	39.3631436314
AFK68_RS05515_WP_094671916.1	094671916_Contig_1398_Len1110	1110	31.6216216216
AFK68_RS23210_WP_094675467.1	094675467_Contig_3275_Len540	540	44.2592592593
AFK68_RS00600_WP_094670814.1	094670814_Contig_622_Len1602	1602	29.9625468165
AFK68_RS32950_WP_094678483.1	094678483_Contig_3221_Len552	552	41.4855072464
AFK68_RS01910_WP_094671199.1	094671199_Contig_722_Len1515	1515	39.0099009901
AFK68_RS00840_WP_094670879.1	094670879_Contig_680_Len1548	1548	34.819121447
AFK68_RS20745_WP_094674715.1	094674715_Contig_5236_Len183	183	36.6120218579
AFK68_RS15495_WP_094673568.1	094673568_Contig_2181_Len831	831	41.155234657
AFK68_RS27880_WP_094676909.1	094676909_Contig_2361_Len774	774	38.6304909561
AFK68_RS06930_WP_094672127.1	094672127_Contig_779_Len1470	1470	41.0884353741
AFK68_RS33215_WP_094678588.1	094678588_Contig_751_Len1488	1488	35.685483871
AFK68_RS26830_WP_094676614.1	094676614_Contig_2322_Len786	786	35.4961832061
AFK68_RS07780_WP_094672261.1	094672261_Contig_3476_Len495	495	44.6464646465
AFK68_RS31285_WP_094677972.1	094677972_Contig_128_Len2760	2760	36.3043478261
AFK68_RS31245_WP_094677956.1	094677956_Contig_3646_Len459	459	37.037037037
AFK68_RS30705_WP_094677778.1	094677778_Contig_4218_Len342	342	43.8596491228
AFK68_RS14025_WP_094673340.1	094673340_Contig_41_Len3990	3990	43.5338345865
AFK68_RS12775_WP_094673146.1	094673146_Contig_2563_Len723	723	39.142461964
AFK68_RS09450_WP_094672496.1	094672496_Contig_2891_Len630	630	37.3015873016
AFK68_RS16665_WP_094673754.1	094673754_Contig_4064_Len369	369	38.2113821138
AFK68_RS21390_WP_094674917.1	094674917_Contig_1628_Len1017	1017	40.0196656834
AFK68_RS29325_WP_011612663.1	011612663_Contig_5333_Len117	117	38.4615384615
AFK68_RS28995_WP_094677270.1	094677270_Contig_1410_Len1104	1104	41.5760869565
AFK68_RS18350_WP_094674012.1	094674012_Contig_290_Len2115	2115	41.938534279
AFK68_RS20595_WP_094674664.1	094674664_Contig_713_Len1521	1521	41.3543721236
AFK68_RS29110_WP_094677318.1	094677318_Contig_3137_Len570	570	38.0701754386
AFK68_RS17110_WP_094673820.1	094673820_Contig_4799_Len240	240	32.9166666667
AFK68_RS06995_WP_094672137.1	094672137_Contig_4154_Len357	357	34.1736694678
AFK68_RS10515_WP_094672657.1	094672657_Contig_637_Len1587	1587	35.0346565848
AFK68_RS18785_WP_094674095.1	094674095_Contig_3044_Len591	591	37.2250423012
AFK68_RS16280_WP_094673696.1	094673696_Contig_2830_Len645	645	31.007751938
AFK68_RS21595_WP_094674969.1	094674969_Contig_4732_Len249	249	37.3493975904
AFK68_RS31135_WP_094677920.1	094677920_Contig_4323_Len324	324	40.1234567901
AFK68_RS26610_WP_094676542.1	094676542_Contig_1862_Len933	933	33.011789925
AFK68_RS34195_WP_094678890.1	094678890_Contig_3637_Len462	462	37.8787878788
AFK68_RS00265_WP_094670722.1	094670722_Contig_1797_Len957	957	32.9153605016
AFK68_RS09680_WP_094672529.1	094672529_Contig_981_Len1323	1323	39.7581254724
AFK68_RS17305_WP_094673849.1	094673849_Contig_3791_Len426	426	32.6291079812
AFK68_RS14075_WP_094673349.1	094673349_Contig_1144_Len1230	1230	38.8617886179
AFK68_RS01220_WP_094670992.1	094670992_Contig_989_Len1317	1317	35.0037965072
AFK68_RS02195_WP_094671277.1	094671277_Contig_2237_Len816	816	33.3333333333
AFK68_RS22265_WP_094675182.1	094675182_Contig_76_Len3276	3276	35.7448107448
AFK68_RS04720_WP_094671797.1	094671797_Contig_1633_Len1017	1017	42.4778761062
AFK68_RS10210_WP_094672613.1	094672613_Contig_4541_Len282	282	39.0070921986
AFK68_RS00760_WP_094670857.1	094670857_Contig_2143_Len843	843	35.9430604982
AFK68_RS13850_WP_094673310.1	094673310_Contig_4694_Len258	258	34.496124031
AFK68_RS25235_WP_094676074.1	094676074_Contig_449_Len1821	1821	42.1197144426
AFK68_RS32760_WP_094678417.1	094678417_Contig_3724_Len441	441	32.1995464853
AFK68_RS21300_WP_094674885.1	094674885_Contig_2876_Len633	633	35.8609794629
AFK68_RS33235_WP_094678577.1	094678577_Contig_3963_Len390	390	40.7692307692
AFK68_RS29830_WP_094677527.1	094677527_Contig_2175_Len834	834	37.0503597122
AFK68_RS21435_WP_094674927.1	094674927_Contig_2877_Len633	633	33.3333333333
AFK68_RS25510_WP_094676173.1	094676173_Contig_3174_Len561	561	29.5900178253
AFK68_RS28970_WP_094677264.1	094677264_Contig_2582_Len717	717	41.0041841004
AFK68_RS14570_WP_094673431.1	094673431_Contig_3805_Len423	423	34.7517730496
AFK68_RS01210_WP_094670988.1	094670988_Contig_1173_Len1212	1212	35.5610561056
AFK68_RS13345_WP_094673236.1	094673236_Contig_2681_Len690	690	31.5942028986
AFK68_RS29675_WP_094677467.1	094677467_Contig_2996_Len606	606	37.6237623762
AFK68_RS14345_WP_094673394.1	094673394_Contig_1085_Len1260	1260	31.746031746
AFK68_RS30625_WP_094677755.1	094677755_Contig_721_Len1515	1515	41.5181518152
AFK68_RS26980_WP_094676652.1	094676652_Contig_688_Len1539	1539	44.5094217024
AFK68_RS22590_WP_094675283.1	094675283_Contig_1291_Len1158	1158	33.1606217617
AFK68_RS04645_WP_094671788.1	094671788_Contig_1561_Len1047	1047	35.3390639924
AFK68_RS21025_WP_094674805.1	094674805_Contig_4658_Len261	261	44.4444444444
AFK68_RS25445_WP_094676145.1	094676145_Contig_4338_Len321	321	48.2866043614
AFK68_RS17970_WP_094673951.1	094673951_Contig_4029_Len378	378	33.3333333333
AFK68_RS04380_WP_094671748.1	094671748_Contig_1345_Len1134	1134	38.9770723104
AFK68_RS13190_WP_094673210.1	094673210_Contig_1910_Len918	918	38.1263616558
AFK68_RS05870_WP_094671970.1	094671970_Contig_3964_Len390	390	35.1282051282
