Original Name	New Name	Seq Length	 Seq GC
BQ9314_RS07940_WP_087707602.1	087707602_Contig_864_Len1386	1386	55.9163059163
BQ9314_RS10560_WP_087708639.1	087708639_Contig_2944_Len480	480	52.2916666667
BQ9314_RS14420_WP_087710050.1	087710050_Contig_2206_Len747	747	45.3815261044
BQ9314_RS16300_WP_087710726.1	087710726_Contig_2693_Len573	573	54.1012216405
BQ9314_RS10620_WP_087708666.1	087708666_Contig_494_Len1746	1746	53.4936998855
BQ9314_RS18785_WP_087711628.1	087711628_Contig_1125_Len1221	1221	45.4545454545
BQ9314_RS02770_WP_087705614.1	087705614_Contig_1396_Len1080	1080	54.3518518519
BQ9314_RS14960_WP_087710266.1	087710266_Contig_3043_Len444	444	55.1801801802
BQ9314_RS00785_WP_087705258.1	087705258_Contig_2133_Len777	777	51.6087516088
BQ9314_RS13005_WP_087709543.1	087709543_Contig_3639_Len246	246	47.1544715447
BQ9314_RS18290_WP_087711457.1	087711457_Contig_2557_Len618	618	51.7799352751
BQ9314_RS12465_WP_087709340.1	087709340_Contig_1763_Len930	930	59.0322580645
BQ9314_RS12515_WP_087709364.1	087709364_Contig_661_Len1548	1548	45.8010335917
BQ9314_RS19970_WP_087712053.1	087712053_Contig_207_Len2481	2481	53.1640467553
BQ9314_RS10685_WP_087708762.1	087708762_Contig_766_Len1455	1455	52.5773195876
BQ9314_RS14865_WP_087710209.1	087710209_Contig_122_Len2910	2910	47.0790378007
BQ9314_RS16875_WP_087710960.1	087710960_Contig_257_Len2280	2280	57.9385964912
BQ9314_RS03155_WP_087705681.1	087705681_Contig_3244_Len378	378	54.4973544974
BQ9314_RS13650_WP_087709773.1	087709773_Contig_3335_Len345	345	54.2028985507
BQ9314_RS03665_WP_087705814.1	087705814_Contig_3021_Len450	450	54.8888888889
BQ9314_RS20310_WP_087712168.1	087712168_Contig_1608_Len990	990	50.0
BQ9314_RS03015_WP_087705656.1	087705656_Contig_2502_Len639	639	53.2081377152
BQ9314_RS03115_WP_087705723.1	087705723_Contig_2950_Len480	480	52.0833333333
