Original Name	New Name	Seq Length	 Seq GC
CHRO_RS22800_WP_015156591.1	015156591_Contig_140_Len2901	2901	51.0168907273
CHRO_RS06055_WP_015153304.1	015153304_Contig_4684_Len369	369	43.9024390244
CHRO_RS22175_WP_015156464.1	015156464_Contig_4356_Len441	441	44.6712018141
CHRO_RS11515_WP_041463047.1	041463047_Contig_3737_Len588	588	40.8163265306
CHRO_RS05535_WP_015153200.1	015153200_Contig_4944_Len315	315	36.5079365079
CHRO_RS25580_WP_015157130.1	015157130_Contig_4635_Len381	381	44.3569553806
CHRO_RS11385_WP_015154357.1	015154357_Contig_2558_Len882	882	46.8253968254
CHRO_RS27350_WP_015157468.1	015157468_Contig_885_Len1503	1503	44.7105788423
CHRO_RS17025_WP_015155477.1	015155477_Contig_2400_Len930	930	45.2688172043
CHRO_RS17570_WP_015155583.1	015155583_Contig_1521_Len1203	1203	49.1271820449
CHRO_RS01805_WP_015152465.1	015152465_Contig_948_Len1458	1458	42.1124828532
CHRO_RS17790_WP_015155623.1	015155623_Contig_164_Len2760	2760	48.6231884058
CHRO_RS19210_WP_015155886.1	015155886_Contig_1887_Len1080	1080	43.9814814815
CHRO_RS02505_WP_015152601.1	015152601_Contig_5403_Len225	225	37.7777777778
CHRO_RS04500_WP_015152995.1	015152995_Contig_4187_Len480	480	35.0
CHRO_RS01885_WP_015152481.1	015152481_Contig_3507_Len645	645	48.992248062
CHRO_RS10680_WP_015154221.1	015154221_Contig_3354_Len684	684	46.1988304094
CHRO_RS26015_WP_015157216.1	015157216_Contig_3991_Len531	531	39.9246704331
CHRO_RS12795_WP_015154627.1	015154627_Contig_2436_Len918	918	47.0588235294
CHRO_RS07275_WP_041462395.1	041462395_Contig_4105_Len498	498	45.3815261044
CHRO_RS02475_WP_015152595.1	015152595_Contig_3564_Len633	633	43.2859399684
CHRO_RS14765_WP_015155027.1	015155027_Contig_2985_Len780	780	40.1282051282
CHRO_RS22950_WP_015156620.1	015156620_Contig_985_Len1443	1443	40.9563409563
CHRO_RS01200_WP_041462312.1	041462312_Contig_4970_Len309	309	32.6860841424
CHRO_RS07780_WP_015153655.1	015153655_Contig_1421_Len1245	1245	50.281124498
CHRO_RS05860_WP_015153264.1	015153264_Contig_3220_Len720	720	47.9166666667
CHRO_RS25120_WP_015157042.1	015157042_Contig_4401_Len432	432	43.0555555556
CHRO_RS07075_WP_015153511.1	015153511_Contig_697_Len1647	1647	48.3910139648
CHRO_RS26305_WP_015157273.1	015157273_Contig_1716_Len1140	1140	47.6315789474
CHRO_RS19595_WP_015155959.1	015155959_Contig_1828_Len1098	1098	42.6229508197
CHRO_RS07535_WP_015153603.1	015153603_Contig_1261_Len1308	1308	45.9480122324
CHRO_RS05490_WP_015153191.1	015153191_Contig_4069_Len510	510	48.6274509804
CHRO_RS00905_WP_015152289.1	015152289_Contig_4506_Len405	405	49.3827160494
CHRO_RS18545_WP_015155765.1	015155765_Contig_4368_Len438	438	45.8904109589
CHRO_RS25235_WP_015157064.1	015157064_Contig_2064_Len1026	1026	45.8089668616
CHRO_RS05885_WP_015153269.1	015153269_Contig_1695_Len1146	1146	47.294938918
CHRO_RS07240_WP_015153544.1	015153544_Contig_1330_Len1281	1281	45.1990632319
CHRO_RS04760_WP_015153044.1	015153044_Contig_1582_Len1182	1182	46.5313028765
CHRO_RS27360_WP_015157470.1	015157470_Contig_2623_Len870	870	38.3908045977
CHRO_RS09265_WP_015153938.1	015153938_Contig_3026_Len771	771	50.7133592737
CHRO_RS17825_WP_015155630.1	015155630_Contig_2137_Len1002	1002	46.2075848303
CHRO_RS23340_WP_015156692.1	015156692_Contig_489_Len1920	1920	45.7291666667
CHRO_RS02740_WP_015152649.1	015152649_Contig_2991_Len777	777	47.2329472329
CHRO_RS26120_WP_015157236.1	015157236_Contig_3488_Len651	651	46.3901689708
CHRO_RS03135_WP_015152730.1	015152730_Contig_3848_Len564	564	38.1205673759
CHRO_RS08380_WP_015153768.1	015153768_Contig_1967_Len1053	1053	49.8575498575
CHRO_RS24885_WP_015156994.1	015156994_Contig_5532_Len201	201	50.2487562189
CHRO_RS25150_WP_015157048.1	015157048_Contig_2530_Len891	891	37.5982042649
CHRO_RS23035_WP_015156636.1	015156636_Contig_5359_Len234	234	44.4444444444
CHRO_RS11550_WP_015154391.1	015154391_Contig_1528_Len1200	1200	47.0833333333
CHRO_RS17705_WP_015155608.1	015155608_Contig_2971_Len783	783	49.4252873563
CHRO_RS08485_WP_015153789.1	015153789_Contig_491_Len1914	1914	48.223615465
CHRO_RS13265_WP_015154722.1	015154722_Contig_3718_Len594	594	43.9393939394
CHRO_RS15045_WP_015155084.1	015155084_Contig_1324_Len1284	1284	48.2866043614
CHRO_RS19110_WP_015155868.1	015155868_Contig_3691_Len600	600	50.8333333333
CHRO_RS10240_WP_015154132.1	015154132_Contig_242_Len2487	2487	48.0096501809
CHRO_RS12415_WP_015154556.1	015154556_Contig_1463_Len1227	1227	49.2257538712
CHRO_RS05945_WP_015153281.1	015153281_Contig_1719_Len1137	1137	39.8416886544
CHRO_RS16615_WP_015155393.1	015155393_Contig_3409_Len672	672	54.6130952381
CHRO_RS26315_WP_015157275.1	015157275_Contig_2465_Len912	912	48.2456140351
CHRO_RS17280_WP_015155527.1	015155527_Contig_377_Len2139	2139	50.677886863
CHRO_RS00270_WP_015152165.1	015152165_Contig_3323_Len693	693	43.8672438672
CHRO_RS16430_WP_015155357.1	015155357_Contig_422_Len2058	2058	44.8007774538
CHRO_RS26035_WP_015157220.1	015157220_Contig_4823_Len345	345	43.1884057971
CHRO_RS31065_WP_041462321.1	041462321_Contig_4567_Len390	390	45.8974358974
CHRO_RS14485_WP_015154969.1	015154969_Contig_408_Len2088	2088	48.9942528736
CHRO_RS14045_WP_015154882.1	015154882_Contig_2052_Len1029	1029	50.1457725948
