Original Name	New Name	Seq Length	 Seq GC
AMR41_RS15265_WP_053457026.1	053457026_Contig_1379_Len1287	1287	41.2587412587
AMR41_RS20520_WP_053457854.1	053457854_Contig_348_Len2250	2250	38.3555555556
AMR41_RS05465_WP_053455463.1	053455463_Contig_783_Len1629	1629	41.8661755678
AMR41_RS24250_WP_026723294.1	026723294_Contig_5147_Len303	303	39.603960396
AMR41_RS29885_WP_071780322.1	071780322_Contig_3328_Len708	708	40.6779661017
AMR41_RS24505_WP_053458599.1	053458599_Contig_4614_Len414	414	39.1304347826
AMR41_RS00705_WP_082370645.1	082370645_Contig_2598_Len894	894	36.8008948546
AMR41_RS05385_WP_053455449.1	053455449_Contig_1119_Len1404	1404	46.5811965812
AMR41_RS11095_WP_053456384.1	053456384_Contig_1651_Len1179	1179	46.1407972858
AMR41_RS28845_WP_053459224.1	053459224_Contig_3028_Len783	783	42.1455938697
AMR41_RS06345_WP_053455611.1	053455611_Contig_413_Len2136	2136	40.2153558052
AMR41_RS23805_WP_053458407.1	053458407_Contig_1132_Len1401	1401	47.5374732334
AMR41_RS30810_WP_053459523.1	053459523_Contig_891_Len1551	1551	43.7137330754
AMR41_RS18195_WP_053457458.1	053457458_Contig_1223_Len1359	1359	33.5540838852
AMR41_RS02865_WP_053455045.1	053455045_Contig_5871_Len180	180	41.1111111111
AMR41_RS22155_WP_053458142.1	053458142_Contig_5630_Len216	216	34.7222222222
AMR41_RS05155_WP_053455502.1	053455502_Contig_3963_Len552	552	42.7536231884
AMR41_RS27485_WP_053458999.1	053458999_Contig_2895_Len819	819	43.8339438339
AMR41_RS18365_WP_053457486.1	053457486_Contig_3336_Len705	705	39.8581560284
AMR41_RS01780_WP_053454872.1	053454872_Contig_424_Len2121	2121	40.7355021216
AMR41_RS08790_WP_053456007.1	053456007_Contig_1120_Len1404	1404	44.301994302
AMR41_RS22310_WP_026722891.1	026722891_Contig_1987_Len1077	1077	43.1754874652
AMR41_RS07930_WP_017655419.1	017655419_Contig_5101_Len312	312	44.5512820513
AMR41_RS06195_WP_026720046.1	026720046_Contig_1700_Len1167	1167	46.2724935733
AMR41_RS11255_WP_053456412.1	053456412_Contig_870_Len1563	1563	41.3307741523
AMR41_RS17090_WP_026719662.1	026719662_Contig_5262_Len276	276	38.768115942
AMR41_RS24795_WP_072160440.1	072160440_Contig_620_Len1791	1791	47.1245114461
AMR41_RS10490_WP_026720605.1	026720605_Contig_4072_Len528	528	42.803030303
AMR41_RS18895_WP_053457601.1	053457601_Contig_3607_Len639	639	44.7574334898
AMR41_RS08020_WP_053455879.1	053455879_Contig_4680_Len399	399	36.8421052632
AMR41_RS20400_WP_053457841.1	053457841_Contig_4218_Len492	492	40.6504065041
AMR41_RS29805_WP_053459381.1	053459381_Contig_2070_Len1047	1047	40.5921680993
AMR41_RS21735_WP_053458070.1	053458070_Contig_1476_Len1245	1245	42.7309236948
AMR41_RS01245_WP_026720466.1	026720466_Contig_2540_Len909	909	35.3135313531
AMR41_RS06455_WP_053455835.1	053455835_Contig_3881_Len570	570	45.9649122807
AMR41_RS10995_WP_053456367.1	053456367_Contig_3855_Len576	576	31.9444444444
AMR41_RS17985_WP_053457423.1	053457423_Contig_2735_Len861	861	33.7979094077
AMR41_RS18205_WP_053457460.1	053457460_Contig_1209_Len1365	1365	43.2967032967
AMR41_RS15530_WP_053457073.1	053457073_Contig_2517_Len918	918	39.9782135076
AMR41_RS03040_WP_053455077.1	053455077_Contig_4464_Len441	441	33.7868480726
AMR41_RS18750_WP_053457576.1	053457576_Contig_3666_Len624	624	40.5448717949
AMR41_RS27235_WP_026723706.1	026723706_Contig_5718_Len204	204	41.6666666667
AMR41_RS06175_WP_053455588.1	053455588_Contig_5393_Len249	249	57.4297188755
AMR41_RS02145_WP_053454934.1	053454934_Contig_2824_Len837	837	45.4002389486
AMR41_RS22465_WP_053458188.1	053458188_Contig_1824_Len1125	1125	33.1555555556
AMR41_RS30065_WP_053459420.1	053459420_Contig_3532_Len657	657	41.2480974125
AMR41_RS12510_WP_053456596.1	053456596_Contig_137_Len3030	3030	42.0792079208
AMR41_RS05835_WP_053455539.1	053455539_Contig_461_Len2049	2049	45.1927769644
AMR41_RS19155_WP_026721506.1	026721506_Contig_5380_Len252	252	39.6825396825
AMR41_RS31585_WP_072160390.1	072160390_Contig_5643_Len213	213	37.558685446
AMR41_RS00320_WP_053454654.1	053454654_Contig_1460_Len1251	1251	30.4556354916
AMR41_RS12790_WP_053456639.1	053456639_Contig_703_Len1689	1689	44.5825932504
AMR41_RS18035_WP_053457433.1	053457433_Contig_202_Len2745	2745	38.5792349727
AMR41_RS22300_WP_053458162.1	053458162_Contig_4441_Len447	447	43.4004474273
AMR41_RS30410_WP_053459474.1	053459474_Contig_2664_Len879	879	41.7519908987
AMR41_RS22670_WP_053458218.1	053458218_Contig_86_Len3537	3537	36.9804919423
AMR41_RS23105_WP_053458299.1	053458299_Contig_3393_Len690	690	43.0434782609
AMR41_RS21910_WP_053458108.1	053458108_Contig_1708_Len1167	1167	35.7326478149
AMR41_RS23785_WP_053458404.1	053458404_Contig_2962_Len798	798	42.3558897243
AMR41_RS00185_WP_053454635.1	053454635_Contig_415_Len2133	2133	44.3037974684
AMR41_RS01045_WP_053454768.1	053454768_Contig_2347_Len963	963	42.1599169263
AMR41_RS01830_WP_053454879.1	053454879_Contig_1013_Len1461	1461	38.6036960986
AMR41_RS23980_WP_053458440.1	053458440_Contig_26_Len5313	5313	41.6149068323
AMR41_RS15200_WP_053457016.1	053457016_Contig_3872_Len573	573	42.9319371728
AMR41_RS07830_WP_053455822.1	053455822_Contig_4525_Len429	429	41.2587412587
AMR41_RS04615_WP_053455330.1	053455330_Contig_3913_Len564	564	39.8936170213
AMR41_RS21630_WP_053458054.1	053458054_Contig_4336_Len468	468	42.735042735
AMR41_RS25065_WP_026721350.1	026721350_Contig_4615_Len414	414	40.8212560386
AMR41_RS14395_WP_053456898.1	053456898_Contig_836_Len1590	1590	42.5786163522
AMR41_RS09650_WP_053456154.1	053456154_Contig_4469_Len441	441	42.4036281179
AMR41_RS31560_WP_072160385.1	072160385_Contig_5707_Len204	204	52.4509803922
AMR41_RS06625_WP_016861183.1	016861183_Contig_5218_Len285	285	39.298245614
AMR41_RS30380_WP_053459468.1	053459468_Contig_915_Len1530	1530	44.1830065359
AMR41_RS11855_WP_016858680.1	016858680_Contig_5399_Len249	249	42.1686746988
AMR41_RS17065_WP_053457291.1	053457291_Contig_2506_Len921	921	43.105320304
AMR41_RS01835_WP_082370654.1	082370654_Contig_3172_Len747	747	42.1686746988
AMR41_RS07820_WP_053455820.1	053455820_Contig_4886_Len354	354	42.6553672316
AMR41_RS05050_WP_053455500.1	053455500_Contig_5353_Len255	255	40.7843137255
AMR41_RS08315_WP_053455930.1	053455930_Contig_5177_Len294	294	41.4965986395
AMR41_RS15605_WP_053457085.1	053457085_Contig_5666_Len210	210	36.6666666667
AMR41_RS14680_WP_053456939.1	053456939_Contig_4513_Len432	432	38.4259259259
AMR41_RS27050_WP_053458928.1	053458928_Contig_1626_Len1188	1188	44.3602693603
AMR41_RS16830_WP_053457262.1	053457262_Contig_5153_Len300	300	38.0
AMR41_RS19380_WP_053457659.1	053457659_Contig_830_Len1596	1596	41.2280701754
AMR41_RS23505_WP_053458357.1	053458357_Contig_3787_Len594	594	32.4915824916
AMR41_RS25755_WP_053458723.1	053458723_Contig_4910_Len351	351	42.735042735
AMR41_RS03975_WP_009459526.1	009459526_Contig_3464_Len672	672	43.8988095238
AMR41_RS13180_WP_053456717.1	053456717_Contig_4411_Len453	453	41.7218543046
AMR41_RS00245_WP_053454643.1	053454643_Contig_1195_Len1368	1368	38.5964912281
AMR41_RS02135_WP_026723095.1	026723095_Contig_3267_Len720	720	41.9444444444
AMR41_RS25210_WP_053458633.1	053458633_Contig_2711_Len867	867	40.369088812
AMR41_RS10095_WP_053456260.1	053456260_Contig_15_Len5829	5829	38.3770801167
AMR41_RS30970_WP_063746217.1	063746217_Contig_5926_Len114	114	45.6140350877
AMR41_RS22080_WP_053458130.1	053458130_Contig_4613_Len414	414	43.7198067633
AMR41_RS23870_WP_053458419.1	053458419_Contig_4112_Len519	519	37.3795761079
AMR41_RS15670_WP_053457095.1	053457095_Contig_213_Len2703	2703	46.28190899
AMR41_RS13070_WP_026721130.1	026721130_Contig_5144_Len303	303	44.5544554455
AMR41_RS16665_WP_053457237.1	053457237_Contig_104_Len3279	3279	46.4775846295
AMR41_RS21005_WP_053457941.1	053457941_Contig_5672_Len210	210	48.5714285714
AMR41_RS24140_WP_053458469.1	053458469_Contig_3001_Len789	789	36.2484157161
AMR41_RS05735_WP_053455521.1	053455521_Contig_3511_Len661	661	38.1240544629
AMR41_RS14055_WP_053456841.1	053456841_Contig_1632_Len1185	1185	42.0253164557
AMR41_RS22720_WP_026721744.1	026721744_Contig_2845_Len834	834	43.0455635492
AMR41_RS10080_WP_053456223.1	053456223_Contig_3644_Len630	630	41.4285714286
AMR41_RS11730_WP_053456483.1	053456483_Contig_2479_Len930	930	43.2258064516
AMR41_RS05600_WP_053455483.1	053455483_Contig_5125_Len306	306	37.908496732
AMR41_RS22625_WP_053458210.1	053458210_Contig_3471_Len672	672	41.6666666667
AMR41_RS26065_WP_026722727.1	026722727_Contig_5082_Len318	318	33.3333333333
AMR41_RS06710_WP_026720134.1	026720134_Contig_2295_Len975	975	37.5384615385
AMR41_RS16100_WP_053457150.1	053457150_Contig_3059_Len774	774	42.7648578811
AMR41_RS04780_WP_082370678.1	082370678_Contig_954_Len1497	1497	41.8837675351
AMR41_RS00895_WP_053454740.1	053454740_Contig_2102_Len1035	1035	40.5797101449
AMR41_RS14760_WP_053456954.1	053456954_Contig_663_Len1740	1740	38.7931034483
AMR41_RS24930_WP_053458586.1	053458586_Contig_2857_Len831	831	37.06377858
AMR41_RS04120_WP_053455250.1	053455250_Contig_3996_Len546	546	41.3919413919
AMR41_RS10090_WP_053456224.1	053456224_Contig_785_Len1629	1629	35.4818907305
AMR41_RS04785_WP_053455354.1	053455354_Contig_3146_Len753	753	39.973439575
AMR41_RS27655_WP_053459028.1	053459028_Contig_346_Len2256	2256	44.8138297872
AMR41_RS16015_WP_026719858.1	026719858_Contig_5778_Len195	195	33.3333333333
AMR41_RS05640_WP_053455488.1	053455488_Contig_55_Len4095	4095	40.9523809524
AMR41_RS16155_WP_053457159.1	053457159_Contig_2612_Len891	891	37.822671156
AMR41_RS22605_WP_053458207.1	053458207_Contig_1988_Len1077	1077	39.0900649954
AMR41_RS01030_WP_053454766.1	053454766_Contig_2026_Len1059	1059	33.6166194523
AMR41_RS25865_WP_053458749.1	053458749_Contig_3713_Len612	612	35.7843137255
AMR41_RS07110_WP_053455712.1	053455712_Contig_1205_Len1365	1365	44.6153846154
AMR41_RS10255_WP_053456249.1	053456249_Contig_3071_Len771	771	31.5175097276
AMR41_RS05590_WP_053455481.1	053455481_Contig_1387_Len1284	1284	45.5607476636
AMR41_RS07660_WP_053455852.1	053455852_Contig_94_Len3375	3375	38.5185185185
AMR41_RS08160_WP_053455901.1	053455901_Contig_2225_Len993	993	37.9657603223
AMR41_RS10200_WP_053456241.1	053456241_Contig_3048_Len777	777	36.5508365508
AMR41_RS31910_WP_072160437.1	072160437_Contig_5895_Len171	171	47.9532163743
AMR41_RS24040_WP_053458451.1	053458451_Contig_1063_Len1437	1437	37.6478775226
AMR41_RS21920_WP_053458110.1	053458110_Contig_5556_Len225	225	34.2222222222
AMR41_RS20935_WP_053457930.1	053457930_Contig_64_Len3876	3876	41.1506707946
AMR41_RS15255_WP_026721853.1	026721853_Contig_5243_Len279	279	41.935483871
AMR41_RS03850_WP_026723637.1	026723637_Contig_3995_Len546	546	46.1538461538
AMR41_RS00765_WP_053454727.1	053454727_Contig_2161_Len1014	1014	36.5877712032
AMR41_RS22120_WP_016861613.1	016861613_Contig_5233_Len282	282	40.780141844
AMR41_RS05660_WP_053455508.1	053455508_Contig_11_Len5946	5946	44.3827783384
AMR41_RS17610_WP_053457370.1	053457370_Contig_10_Len5994	5994	35.8358358358
AMR41_RS25645_WP_072160448.1	072160448_Contig_3637_Len633	633	41.2322274882
AMR41_RS28160_WP_053459116.1	053459116_Contig_625_Len1788	1788	43.4004474273
AMR41_RS11225_WP_053456406.1	053456406_Contig_160_Len2895	2895	42.7979274611
AMR41_RS07070_WP_053455707.1	053455707_Contig_906_Len1536	1536	39.3880208333
AMR41_RS15035_WP_053456992.1	053456992_Contig_554_Len1881	1881	39.2344497608
AMR41_RS17045_WP_053457287.1	053457287_Contig_4549_Len426	426	32.3943661972
AMR41_RS07475_WP_053455770.1	053455770_Contig_4885_Len354	354	37.5706214689
AMR41_RS25960_WP_053458763.1	053458763_Contig_3622_Len636	636	31.7610062893
AMR41_RS25190_WP_026721322.1	026721322_Contig_3866_Len576	576	39.7569444444
AMR41_RS15095_WP_026721887.1	026721887_Contig_5777_Len195	195	43.5897435897
AMR41_RS30760_WP_053459514.1	053459514_Contig_4639_Len411	411	42.8223844282
AMR41_RS06125_WP_053455830.1	053455830_Contig_2201_Len1002	1002	38.5229540918
AMR41_RS30120_WP_026722556.1	026722556_Contig_4800_Len375	375	41.3333333333
AMR41_RS20660_WP_053457910.1	053457910_Contig_135_Len3045	3045	41.9047619048
AMR41_RS29910_WP_053459396.1	053459396_Contig_2005_Len1071	1071	44.7245564893
AMR41_RS15885_WP_053457539.1	053457539_Contig_5794_Len192	192	36.9791666667
AMR41_RS03830_WP_053455204.1	053455204_Contig_4301_Len474	474	44.3037974684
AMR41_RS12465_WP_053456589.1	053456589_Contig_850_Len1578	1578	37.2623574144
AMR41_RS00085_WP_053454696.1	053454696_Contig_1027_Len1452	1452	45.2479338843
AMR41_RS19220_WP_082370755.1	082370755_Contig_4438_Len447	447	42.2818791946
AMR41_RS13690_WP_053456781.1	053456781_Contig_5208_Len288	288	38.1944444444
AMR41_RS09080_WP_053456053.1	053456053_Contig_5370_Len252	252	41.6666666667
AMR41_RS17955_WP_053457418.1	053457418_Contig_523_Len1932	1932	42.0807453416
AMR41_RS21805_WP_053458090.1	053458090_Contig_4440_Len447	447	29.5302013423
AMR41_RS00730_WP_053454722.1	053454722_Contig_3911_Len564	564	42.7304964539
AMR41_RS04800_WP_016862169.1	016862169_Contig_4780_Len378	378	37.8306878307
AMR41_RS09325_WP_053456104.1	053456104_Contig_3217_Len735	735	38.0952380952
AMR41_RS04115_WP_053455249.1	053455249_Contig_532_Len1914	1914	43.1556948798
AMR41_RS14430_WP_017311044.1	017311044_Contig_3244_Len729	729	47.1879286694
AMR41_RS00630_WP_053454709.1	053454709_Contig_2042_Len1053	1053	40.1709401709
AMR41_RS07720_WP_026720332.1	026720332_Contig_1890_Len1101	1101	44.6866485014
AMR41_RS29340_WP_053459309.1	053459309_Contig_4729_Len393	393	31.5521628499
AMR41_RS30110_WP_026722554.1	026722554_Contig_3144_Len756	756	42.328042328
AMR41_RS08080_WP_053455890.1	053455890_Contig_933_Len1512	1512	39.0211640212
AMR41_RS21230_WP_053457981.1	053457981_Contig_3811_Len588	588	44.0476190476
AMR41_RS28175_WP_053459118.1	053459118_Contig_2823_Len840	840	47.1428571429
AMR41_RS16240_WP_053457171.1	053457171_Contig_339_Len2280	2280	42.1929824561
AMR41_RS17235_WP_053457317.1	053457317_Contig_1086_Len1422	1422	41.9831223629
AMR41_RS02590_WP_026721691.1	026721691_Contig_3598_Len639	639	45.2269170579
AMR41_RS13345_WP_053456730.1	053456730_Contig_5191_Len291	291	32.9896907216
AMR41_RS20160_WP_053457805.1	053457805_Contig_5184_Len294	294	40.4761904762
AMR41_RS22270_WP_053458159.1	053458159_Contig_1159_Len1386	1386	33.1168831169
