Original Name	New Name	Seq Length	 Seq GC
N0824_RS01300_WP_002733247.1	002733247_Contig_3029_Len297	297	46.8013468013
N0824_RS05840_WP_108936062.1	108936062_Contig_2363_Len528	528	36.553030303
N0824_RS16970_WP_002733090.1	002733090_Contig_2084_Len642	642	40.1869158879
N0824_RS03510_WP_108935726.1	108935726_Contig_279_Len1845	1845	41.2466124661
N0824_RS03595_WP_108935741.1	108935741_Contig_1750_Len771	771	35.149156939
N0824_RS06660_WP_002802760.1	002802760_Contig_2409_Len507	507	50.2958579882
N0824_RS07610_WP_002733188.1	002733188_Contig_2869_Len348	348	53.7356321839
N0824_RS20165_WP_108938068.1	108938068_Contig_3278_Len240	240	39.5833333333
N0824_RS03925_WP_108935793.1	108935793_Contig_3320_Len228	228	44.7368421053
N0824_RS01225_WP_108935389.1	108935389_Contig_3163_Len264	264	37.5
N0824_RS04795_WP_108935918.1	108935918_Contig_1082_Len1071	1071	52.1942110177
N0824_RS00720_WP_108935327.1	108935327_Contig_1949_Len693	693	43.7229437229
N0824_RS20085_WP_108938022.1	108938022_Contig_2657_Len417	417	45.0839328537
N0824_RS07760_WP_002781573.1	002781573_Contig_2779_Len378	378	41.0052910053
N0824_RS09600_WP_108936594.1	108936594_Contig_3178_Len261	261	47.8927203065
N0824_RS16030_WP_002738197.1	002738197_Contig_1934_Len699	699	48.9270386266
N0824_RS18810_WP_108937862.1	108937862_Contig_1037_Len1095	1095	48.401826484
N0824_RS20330_WP_108938051.1	108938051_Contig_325_Len1728	1728	40.5671296296
N0824_RS07765_WP_108936348.1	108936348_Contig_660_Len1338	1338	43.423019432
N0824_RS05145_WP_002757266.1	002757266_Contig_3065_Len291	291	44.6735395189
N0824_RS03630_WP_108935746.1	108935746_Contig_2387_Len516	516	42.6356589147
N0824_RS05620_WP_108936024.1	108936024_Contig_2852_Len351	351	45.0142450142
N0824_RS04260_WP_046662375.1	046662375_Contig_2727_Len393	393	43.2569974555
N0824_RS15560_WP_061431284.1	061431284_Contig_3502_Len198	198	43.9393939394
N0824_RS01820_WP_108935478.1	108935478_Contig_2024_Len663	663	46.3046757164
N0824_RS09915_WP_079208643.1	079208643_Contig_3199_Len255	255	34.9019607843
N0824_RS01430_WP_002797368.1	002797368_Contig_3021_Len300	300	34.6666666667
N0824_RS14985_WP_108937316.1	108937316_Contig_3376_Len219	219	43.3789954338
N0824_RS02455_WP_108935565.1	108935565_Contig_1883_Len717	717	47.6987447699
N0824_RS10325_WP_052277890.1	052277890_Contig_2781_Len378	378	45.7671957672
N0824_RS08385_WP_002798217.1	002798217_Contig_2110_Len633	633	44.8657187994
N0824_RS02070_WP_108935513.1	108935513_Contig_1382_Len924	924	37.4458874459
N0824_RS17895_WP_108937730.1	108937730_Contig_1410_Len909	909	42.2442244224
N0824_RS16720_WP_108937568.1	108937568_Contig_249_Len1908	1908	47.2746331237
N0824_RS08435_WP_108936427.1	108936427_Contig_1644_Len807	807	50.1858736059
N0824_RS03870_WP_108935785.1	108935785_Contig_2272_Len567	567	38.9770723104
