,am,ba,ee,ex,op,pl,sr,za,
OG5_127854,0.052,0,0.056,0.25,0.13,0.154,0.025,0,
OG5_127251,0.037,0,0.085,0.182,0.143,0.1,0.019,0,
OG5_135286,0.049,0,0.091,0,0.222,0.5,0.085,0,
OG5_128785,0.041,0.075,0.136,0.414,0.176,0.194,0.059,0,
OG5_127065,0.22,0.016,0.184,0.429,0.367,0.556,0.298,0.258,
OG5_129145,0.036,0,0.029,0.154,0.048,0.143,0.031,0,
OG5_135159,0.064,0,0.341,0.4,0.225,0,0.161,0,
OG5_135657,0.2,0.023,0.111,0.6,1.0,0.333,0.05,1.0,
OG5_127450,0.056,0,0.065,0.227,0.071,0.207,0.028,0,
OG5_127800,0.063,1.0,0.09,0.328,0.098,0.075,0.069,0,
OG5_131900,0.063,0,0.083,0.556,0.143,0.207,0.115,0,
OG5_128538,0.127,0,0.118,0.333,0.159,0.241,0.044,0,
OG5_127118,0.068,0,0.049,0.262,0.1,0.226,0.024,0,
OG5_128391,0.031,0,0.07,0.2,0.061,0.244,0.057,0,
OG5_130414,0.053,0,0.083,0.25,0.167,0.143,0.143,0,
OG5_128369,0.04,0,0.056,0.179,0.047,0.136,0.015,0,
OG5_150385,0.032,0.086,0.136,0.333,0.5,0.333,0.13,0,
OG5_133609,0.09,0,0.514,0.286,0.415,1.0,0.167,0,
OG5_146335,0.067,0.039,0.133,0.282,0.321,0.235,0.05,0.133,
OG5_132466,0.243,0,0.222,0.316,0.176,1.0,0.112,0,
OG5_127758,0.045,0,0.074,0.133,0.081,0.103,0.013,0,
OG5_128447,0.054,0,0.07,0.095,0.071,0.159,0.021,0,
OG5_130251,0.041,0.333,0.171,0.227,0.783,0.172,0.047,0,
OG5_149295,0.048,1.0,0.114,0.517,0.5,0.118,0.045,0,
OG5_129336,0.037,0,0.205,0.424,0.106,0.333,0.085,0,
OG5_127737,0.08,0,0.056,0.077,0.125,0.147,0.104,0,
OG5_126558,0.13,0,0.12,0.166,0.299,0.214,0.055,0,
OG5_128905,0.133,0.01,0.071,0.121,0,0.091,0.028,0.053,
OG5_127331,0.038,0,0.043,0.133,0.086,0.107,0.027,0,
OG5_127779,0.029,0,0.05,0.111,0.069,0.141,0.019,1.0,
OG5_131527,0.052,0.154,0.152,0.167,0.143,0.125,0.037,0,
OG5_128025,0.037,0,0.063,0.158,0.071,0.128,0.029,0,
OG5_131029,0.273,0,0.1,0.324,0.336,0.235,0.051,0,
OG5_127123,0.051,0,0.09,0.193,0.137,0.13,0.049,0,
OG5_134442,0.125,0.2,0.143,0.333,0.2,0.125,0.038,0,
OG5_127875,0.073,0,0.13,0.143,0.125,0.262,0.038,0,
OG5_137718,0.25,0,0.5,0.333,1.0,0.333,0.125,0,
OG5_127287,0.051,0,0.143,0.176,0.119,0.26,0.026,0,
OG5_129276,0.036,0,0.077,0.129,0.051,0.077,0.045,0,
OG5_132774,0.047,0.5,0.108,0.235,0.421,0.667,0.048,0,
OG5_130315,0.25,0,0.095,0.211,0.143,0.083,0.023,0,
OG5_131086,0.057,0,0.118,0.2,0.087,0.087,0.098,0,
OG5_134361,0.25,0,0.333,0.333,0.5,1.0,0.287,0,
OG5_130099,0.033,0.143,0.125,0.1,0.071,0.667,0.028,0.333,
OG5_127312,0.041,0.111,0.067,0.278,0.064,0.097,0.026,0.022,
