Original Name	New Name	Seq Length	 Seq GC
CHA6605_RS21060_WP_015161409.1	015161409_Contig_2503_Len849	849	46.17196702
CHA6605_RS12420_WP_015159788.1	015159788_Contig_941_Len1413	1413	48.2661004954
CHA6605_RS25200_WP_015162194.1	015162194_Contig_1909_Len1023	1023	50.3421309873
CHA6605_RS21745_WP_015161534.1	015161534_Contig_915_Len1434	1434	46.3737796374
CHA6605_RS06390_WP_015158682.1	015158682_Contig_3977_Len519	519	52.9865125241
CHA6605_RS11335_WP_015159594.1	015159594_Contig_3063_Len705	705	51.7730496454
CHA6605_RS29470_WP_015328825.1	015328825_Contig_1847_Len1044	1044	47.1264367816
CHA6605_RS09665_WP_041547864.1	041547864_Contig_5625_Len231	231	41.5584415584
CHA6605_RS26385_WP_015162431.1	015162431_Contig_1385_Len1206	1206	52.0729684909
CHA6605_RS02295_WP_015157937.1	015157937_Contig_3540_Len603	603	45.7711442786
CHA6605_RS14045_WP_041548053.1	041548053_Contig_2616_Len816	816	46.3235294118
CHA6605_RS16480_WP_015160544.1	015160544_Contig_21_Len4641	4641	52.1008403361
CHA6605_RS17155_WP_041548214.1	041548214_Contig_3619_Len591	591	46.8697123519
CHA6605_RS24135_WP_015161994.1	015161994_Contig_3262_Len663	663	50.6787330317
CHA6605_RS25105_WP_015162176.1	015162176_Contig_3659_Len582	582	44.6735395189
CHA6605_RS22875_WP_041548399.1	041548399_Contig_5944_Len183	183	48.087431694
CHA6605_RS16870_WP_086936239.1	086936239_Contig_1783_Len1065	1065	46.2910798122
CHA6605_RS30445_WP_015329013.1	015329013_Contig_4150_Len489	489	43.7627811861
CHA6605_RS26955_WP_015162537.1	015162537_Contig_3648_Len585	585	39.3162393162
CHA6605_RS10495_WP_015159437.1	015159437_Contig_1696_Len1098	1098	50.4553734062
CHA6605_RS19465_WP_015161107.1	015161107_Contig_269_Len2319	2319	44.9762828806
CHA6605_RS01360_WP_015157758.1	015157758_Contig_2142_Len945	945	49.6296296296
CHA6605_RS22450_WP_015161670.1	015161670_Contig_3641_Len588	588	51.3605442177
CHA6605_RS33065_WP_015160949.1	015160949_Contig_2032_Len978	978	36.2985685072
CHA6605_RS09660_WP_015159286.1	015159286_Contig_1377_Len1212	1212	46.1221122112
CHA6605_RS10455_WP_015159429.1	015159429_Contig_3728_Len567	567	41.7989417989
CHA6605_RS21410_WP_041548373.1	041548373_Contig_5895_Len192	192	46.3541666667
CHA6605_RS16255_WP_015160507.1	015160507_Contig_1005_Len1383	1383	36.0809833695
CHA6605_RS21330_WP_015161459.1	015161459_Contig_2597_Len822	822	48.9051094891
CHA6605_RS16615_WP_015160567.1	015160567_Contig_3736_Len567	567	48.5008818342
CHA6605_RS11805_WP_015159671.1	015159671_Contig_3215_Len672	672	48.8095238095
CHA6605_RS15550_WP_015160380.1	015160380_Contig_1711_Len1092	1092	44.1391941392
CHA6605_RS15530_WP_015160376.1	015160376_Contig_3156_Len684	684	45.9064327485
CHA6605_RS24925_WP_015162144.1	015162144_Contig_949_Len1410	1410	46.0283687943
CHA6605_RS26275_WP_015162412.1	015162412_Contig_129_Len3027	3027	49.3557978196
CHA6605_RS29045_WP_015157985.1	015157985_Contig_2288_Len903	903	44.6290143965
CHA6605_RS28120_WP_015162744.1	015162744_Contig_3164_Len684	684	45.0292397661
CHA6605_RS23285_WP_015161824.1	015161824_Contig_3223_Len672	672	51.6369047619
CHA6605_RS07435_WP_041547739.1	041547739_Contig_5468_Len258	258	44.1860465116
CHA6605_RS19135_WP_015161048.1	015161048_Contig_920_Len1431	1431	37.5262054507
CHA6605_RS20535_WP_015161310.1	015161310_Contig_2858_Len756	756	47.8835978836
CHA6605_RS23020_WP_015161776.1	015161776_Contig_5317_Len285	285	41.4035087719
CHA6605_RS22425_WP_015161665.1	015161665_Contig_185_Len2694	2694	52.858203415
CHA6605_RS07590_WP_015158898.1	015158898_Contig_2191_Len930	930	48.064516129
