Original Name	New Name	Seq Length	 Seq GC
MICAI_RS15065_WP_008203575.1	008203575_Contig_2400_Len579	579	48.1865284974
MICAI_RS04990_WP_008198680.1	008198680_Contig_1586_Len885	885	53.4463276836
MICAI_RS10960_WP_008201626.1	008201626_Contig_2742_Len465	465	41.0752688172
MICAI_RS22325_WP_008207382.1	008207382_Contig_3034_Len381	381	41.9947506562
MICAI_RS18960_WP_039900523.1	039900523_Contig_2699_Len477	477	50.1048218029
MICAI_RS17275_WP_008205183.1	008205183_Contig_3151_Len348	348	45.6896551724
MICAI_RS10890_WP_008201601.1	008201601_Contig_2709_Len474	474	44.3037974684
MICAI_RS06345_WP_008199332.1	008199332_Contig_218_Len2121	2121	41.6313059877
MICAI_RS08800_WP_008200581.1	008200581_Contig_1643_Len855	855	42.3391812865
MICAI_RS07485_WP_008199866.1	008199866_Contig_1372_Len978	978	42.8425357873
MICAI_RS18430_WP_008205760.1	008205760_Contig_2149_Len666	666	44.2942942943
MICAI_RS02625_WP_008197391.1	008197391_Contig_1292_Len1011	1011	43.3234421365
MICAI_RS19160_WP_008206058.1	008206058_Contig_931_Len1209	1209	43.4243176179
MICAI_RS24255_WP_008205052.1	008205052_Contig_3426_Len288	288	40.625
MICAI_RS10640_WP_008201489.1	008201489_Contig_1481_Len927	927	46.925566343
MICAI_RS02720_WP_071988983.1	071988983_Contig_3875_Len214	214	35.046728972
MICAI_RS20480_WP_008206642.1	008206642_Contig_744_Len1335	1335	41.2734082397
MICAI_RS23310_WP_071989009.1	071989009_Contig_3832_Len222	222	49.0990990991
MICAI_RS01785_WP_002736589.1	002736589_Contig_3421_Len291	291	42.2680412371
MICAI_RS12300_WP_071989049.1	071989049_Contig_1890_Len765	765	45.2287581699
MICAI_RS01100_WP_002738938.1	002738938_Contig_4117_Len183	183	47.5409836066
MICAI_RS14595_WP_016515349.1	016515349_Contig_3447_Len285	285	39.649122807
MICAI_RS12340_WP_008202295.1	008202295_Contig_792_Len1296	1296	35.8796296296
MICAI_RS10735_WP_008201529.1	008201529_Contig_476_Len1584	1584	47.5378787879
MICAI_RS12745_WP_008202527.1	008202527_Contig_2761_Len459	459	44.6623093682
MICAI_RS18405_WP_008205744.1	008205744_Contig_432_Len1644	1644	43.1265206813
MICAI_RS02155_WP_008197193.1	008197193_Contig_2958_Len402	402	47.0149253731
MICAI_RS18115_WP_008205592.1	008205592_Contig_3712_Len237	237	41.7721518987
MICAI_RS07240_WP_008199737.1	008199737_Contig_2475_Len552	552	41.847826087
MICAI_RS12185_WP_002783384.1	002783384_Contig_4060_Len189	189	41.2698412698
MICAI_RS21310_WP_039900672.1	039900672_Contig_4051_Len189	189	37.037037037
MICAI_RS12565_WP_008202419.1	008202419_Contig_1480_Len927	927	39.3743257821
MICAI_RS04670_WP_008198505.1	008198505_Contig_231_Len2076	2076	49.4219653179
MICAI_RS03900_WP_002735864.1	002735864_Contig_1111_Len1110	1110	48.3783783784
MICAI_RS06150_WP_002757519.1	002757519_Contig_3814_Len225	225	41.7777777778
MICAI_RS06885_WP_008199576.1	008199576_Contig_719_Len1353	1353	45.2328159645
MICAI_RS01505_WP_008196816.1	008196816_Contig_3386_Len297	297	42.0875420875
MICAI_RS19965_WP_008206423.1	008206423_Contig_3908_Len210	210	47.1428571429
MICAI_RS21615_WP_008207078.1	008207078_Contig_1862_Len774	774	43.7984496124
MICAI_RS04410_WP_002795818.1	002795818_Contig_3520_Len273	273	34.4322344322
MICAI_RS05310_WP_002758682.1	002758682_Contig_3264_Len324	324	42.5925925926
MICAI_RS21780_WP_008207152.1	008207152_Contig_2247_Len633	633	44.0758293839
MICAI_RS11960_WP_008202119.1	008202119_Contig_1414_Len957	957	45.8725182863
MICAI_RS06625_WP_008199458.1	008199458_Contig_724_Len1347	1347	32.7394209354
MICAI_RS19510_WP_008206228.1	008206228_Contig_2756_Len462	462	43.5064935065
MICAI_RS20585_WP_008206673.1	008206673_Contig_3776_Len228	228	35.5263157895
MICAI_RS19345_WP_008206147.1	008206147_Contig_3842_Len219	219	33.3333333333
MICAI_RS02335_WP_008197271.1	008197271_Contig_3594_Len258	258	45.7364341085
MICAI_RS02205_WP_008197232.1	008197232_Contig_764_Len1320	1320	48.5606060606
MICAI_RS05285_WP_008198796.1	008198796_Contig_3222_Len336	336	37.5
MICAI_RS11775_WP_008202026.1	008202026_Contig_693_Len1371	1371	44.5660102115
MICAI_RS21250_WP_039900671.1	039900671_Contig_3839_Len219	219	46.5753424658
MICAI_RS12760_WP_008202534.1	008202534_Contig_2461_Len555	555	41.6216216216
MICAI_RS18835_WP_008205943.1	008205943_Contig_3979_Len201	201	36.3184079602
MICAI_RS12115_WP_008202195.1	008202195_Contig_3166_Len345	345	33.0434782609
MICAI_RS16015_WP_008204342.1	008204342_Contig_2366_Len588	588	48.1292517007
MICAI_RS12035_WP_002797176.1	002797176_Contig_337_Len1806	1806	48.7818383167
MICAI_RS00140_WP_002732356.1	002732356_Contig_4186_Len117	117	41.8803418803
MICAI_RS11095_WP_008201691.1	008201691_Contig_1588_Len882	882	45.1247165533
MICAI_RS04420_WP_002792160.1	002792160_Contig_3949_Len207	207	40.0966183575
MICAI_RS01665_WP_008196912.1	008196912_Contig_154_Len2355	2355	45.2653927813
MICAI_RS16175_WP_008204447.1	008204447_Contig_595_Len1452	1452	38.7052341598
MICAI_RS20605_WP_039900617.1	039900617_Contig_3840_Len219	219	47.4885844749
MICAI_RS14115_WP_008203211.1	008203211_Contig_1946_Len741	741	49.2577597841
MICAI_RS02935_WP_051011144.1	051011144_Contig_246_Len2034	2034	33.9233038348
