Original Name	New Name	Seq Length	 Seq GC
SYN6308_RS18355_WP_017295913.1	017295913_Contig_1261_Len1008	1008	38.9880952381
SYN6308_RS13875_WP_017295055.1	017295055_Contig_1089_Len1104	1104	31.5217391304
SYN6308_RS09860_WP_017294277.1	017294277_Contig_371_Len1740	1740	38.2183908046
SYN6308_RS17935_WP_017295831.1	017295831_Contig_802_Len1284	1284	32.3208722741
SYN6308_RS02470_WP_017292850.1	017292850_Contig_1632_Len837	837	34.8864994026
SYN6308_RS10960_WP_017294487.1	017294487_Contig_448_Len1632	1632	30.0245098039
SYN6308_RS17455_WP_017295739.1	017295739_Contig_36_Len3684	3684	29.0445168295
SYN6308_RS02425_WP_017292841.1	017292841_Contig_15_Len4470	4470	39.1498881432
SYN6308_RS01340_WP_017292627.1	017292627_Contig_905_Len1206	1206	35.5721393035
SYN6308_RS22925_WP_017295821.1	017295821_Contig_225_Len2145	2145	33.37995338
SYN6308_RS17580_WP_017295762.1	017295762_Contig_2430_Len522	522	41.9540229885
SYN6308_RS11080_WP_017294511.1	017294511_Contig_217_Len2163	2163	37.6791493296
SYN6308_RS13125_WP_017294907.1	017294907_Contig_2287_Len576	576	30.7291666667
SYN6308_RS07875_WP_017293895.1	017293895_Contig_1312_Len981	981	42.0998980632
SYN6308_RS21125_WP_017296463.1	017296463_Contig_2527_Len483	483	31.4699792961
SYN6308_RS18010_WP_017295845.1	017295845_Contig_1415_Len930	930	37.9569892473
SYN6308_RS02750_WP_017292904.1	017292904_Contig_1642_Len834	834	36.5707434053
SYN6308_RS21520_WP_083879512.1	083879512_Contig_742_Len1335	1335	28.3895131086
SYN6308_RS05245_WP_017293386.1	017293386_Contig_3497_Len243	243	33.3333333333
SYN6308_RS21330_WP_017292518.1	017292518_Contig_2339_Len558	558	32.6164874552
SYN6308_RS19705_WP_017296181.1	017296181_Contig_1724_Len801	801	36.0799001248
SYN6308_RS19210_WP_017296083.1	017296083_Contig_2844_Len393	393	30.0254452926
SYN6308_RS06255_WP_017293583.1	017293583_Contig_3807_Len195	195	34.8717948718
SYN6308_RS08610_WP_017294034.1	017294034_Contig_2391_Len540	540	42.962962963
SYN6308_RS12380_WP_017294762.1	017294762_Contig_1398_Len942	942	34.8195329087
SYN6308_RS14305_WP_017295136.1	017295136_Contig_2628_Len453	453	24.944812362
SYN6308_RS03530_WP_017293052.1	017293052_Contig_1613_Len846	846	32.9787234043
SYN6308_RS20660_WP_017296372.1	017296372_Contig_1798_Len774	774	36.8217054264
SYN6308_RS14835_WP_083879565.1	083879565_Contig_2304_Len573	573	33.8568935428
SYN6308_RS06855_WP_026101962.1	026101962_Contig_3551_Len234	234	33.7606837607
SYN6308_RS01315_WP_017292623.1	017292623_Contig_882_Len1221	1221	38.4111384111
SYN6308_RS15515_WP_017295368.1	017295368_Contig_2821_Len399	399	32.8320802005
SYN6308_RS12930_WP_017294868.1	017294868_Contig_348_Len1791	1791	41.2060301508
SYN6308_RS17105_WP_017295670.1	017295670_Contig_2972_Len357	357	28.5714285714
SYN6308_RS02150_WP_017292788.1	017292788_Contig_296_Len1917	1917	39.9061032864
SYN6308_RS02665_WP_017292887.1	017292887_Contig_3515_Len240	240	35.4166666667
SYN6308_RS19335_WP_017296108.1	017296108_Contig_3620_Len225	225	36.8888888889
SYN6308_RS11485_WP_017294586.1	017294586_Contig_3505_Len243	243	32.5102880658
SYN6308_RS07885_WP_017293897.1	017293897_Contig_1215_Len1029	1029	37.0262390671
SYN6308_RS03000_WP_026101888.1	026101888_Contig_330_Len1812	1812	36.5894039735
SYN6308_RS09480_WP_017294202.1	017294202_Contig_939_Len1185	1185	28.1012658228
SYN6308_RS03800_WP_017293105.1	017293105_Contig_1434_Len918	918	28.8671023965
SYN6308_RS15860_WP_017295434.1	017295434_Contig_515_Len1539	1539	26.3157894737
SYN6308_RS08850_WP_017294080.1	017294080_Contig_1314_Len981	981	36.0856269113
SYN6308_RS15670_WP_017295397.1	017295397_Contig_2504_Len492	492	45.1219512195
SYN6308_RS10620_WP_017294420.1	017294420_Contig_2683_Len435	435	30.3448275862
SYN6308_RS18645_WP_017295971.1	017295971_Contig_1236_Len1020	1020	36.4705882353
SYN6308_RS11330_WP_017294556.1	017294556_Contig_573_Len1485	1485	41.4141414141
SYN6308_RS11455_WP_017294581.1	017294581_Contig_2969_Len357	357	27.731092437
SYN6308_RS10770_WP_017294450.1	017294450_Contig_3900_Len126	126	37.3015873016
SYN6308_RS09180_WP_017294145.1	017294145_Contig_423_Len1659	1659	40.5063291139
SYN6308_RS20780_WP_017296395.1	017296395_Contig_1605_Len852	852	27.3474178404
SYN6308_RS09915_WP_017294283.1	017294283_Contig_1807_Len768	768	33.7239583333
SYN6308_RS15190_WP_017295304.1	017295304_Contig_2156_Len618	618	34.7896440129
SYN6308_RS16405_WP_017295535.1	017295535_Contig_3157_Len315	315	29.2063492063
SYN6308_RS11025_WP_017294500.1	017294500_Contig_2347_Len558	558	32.7956989247
SYN6308_RS03540_WP_017293054.1	017293054_Contig_1600_Len852	852	34.1549295775
SYN6308_RS02075_WP_017292773.1	017292773_Contig_306_Len1887	1887	39.4276629571
SYN6308_RS10075_WP_017294315.1	017294315_Contig_1569_Len867	867	32.2952710496
SYN6308_RS14200_WP_017295114.1	017295114_Contig_1394_Len945	945	29.8412698413
SYN6308_RS19410_WP_017296123.1	017296123_Contig_91_Len2940	2940	34.5238095238
SYN6308_RS16560_WP_017295566.1	017295566_Contig_3448_Len252	252	27.7777777778
SYN6308_RS21335_WP_052312579.1	052312579_Contig_805_Len1278	1278	36.7762128326
SYN6308_RS17195_WP_017295688.1	017295688_Contig_1982_Len693	693	32.1789321789
SYN6308_RS09685_WP_017294243.1	017294243_Contig_482_Len1587	1587	41.7769376181
SYN6308_RS13665_WP_026102072.1	026102072_Contig_1922_Len717	717	41.8410041841
SYN6308_RS09795_WP_017294264.1	017294264_Contig_2927_Len369	369	38.2113821138
SYN6308_RS03600_WP_017293065.1	017293065_Contig_1931_Len714	714	36.4145658263
SYN6308_RS14070_WP_017295094.1	017295094_Contig_162_Len2448	2448	28.9215686275
SYN6308_RS08830_WP_017294076.1	017294076_Contig_1389_Len945	945	40.0
SYN6308_RS14920_WP_017294828.1	017294828_Contig_2641_Len450	450	35.7777777778
SYN6308_RS23700_WP_083879514.1	083879514_Contig_3805_Len195	195	31.7948717949
SYN6308_RS09580_WP_017294222.1	017294222_Contig_3609_Len225	225	31.1111111111
SYN6308_RS13310_WP_017294943.1	017294943_Contig_2269_Len582	582	39.175257732
SYN6308_RS00400_WP_017292444.1	017292444_Contig_3356_Len267	267	31.0861423221
SYN6308_RS18825_WP_017296007.1	017296007_Contig_325_Len1827	1827	37.0005473454
SYN6308_RS06235_WP_017293580.1	017293580_Contig_1117_Len1080	1080	33.2407407407
SYN6308_RS11370_WP_017294564.1	017294564_Contig_3280_Len285	285	37.5438596491
SYN6308_RS08760_WP_017294063.1	017294063_Contig_2763_Len414	414	23.4299516908
SYN6308_RS17415_WP_017295731.1	017295731_Contig_3133_Len321	321	37.0716510903
SYN6308_RS20060_WP_017296252.1	017296252_Contig_535_Len1524	1524	36.8766404199
SYN6308_RS11335_WP_017294557.1	017294557_Contig_3668_Len219	219	33.7899543379
SYN6308_RS17205_WP_017295690.1	017295690_Contig_108_Len2751	2751	34.4965467103
SYN6308_RS24005_WP_083879566.1	083879566_Contig_3882_Len162	162	37.037037037
SYN6308_RS07880_WP_040466836.1	040466836_Contig_2153_Len618	618	27.3462783172
SYN6308_RS07820_WP_026101980.1	026101980_Contig_3840_Len186	186	29.0322580645
SYN6308_RS13900_WP_017295060.1	017295060_Contig_2782_Len408	408	35.5392156863
SYN6308_RS13065_WP_017294895.1	017294895_Contig_1036_Len1134	1134	34.4797178131
SYN6308_RS16855_WP_017295624.1	017295624_Contig_1369_Len954	954	35.9538784067
SYN6308_RS15650_WP_017295393.1	017295393_Contig_2079_Len651	651	41.1674347158
SYN6308_RS23870_WP_017294301.1	017294301_Contig_2752_Len417	417	33.5731414868
SYN6308_RS19245_WP_017296090.1	017296090_Contig_2905_Len378	378	30.9523809524
SYN6308_RS00500_WP_017292463.1	017292463_Contig_680_Len1383	1383	41.8655097614
SYN6308_RS04750_WP_017293291.1	017293291_Contig_1853_Len750	750	31.4666666667
SYN6308_RS15985_WP_017295454.1	017295454_Contig_3914_Len96	96	35.4166666667
SYN6308_RS08205_WP_017293956.1	017293956_Contig_2830_Len396	396	29.5454545455
SYN6308_RS11535_WP_017294596.1	017294596_Contig_1714_Len804	804	39.4278606965
SYN6308_RS03695_WP_017293084.1	017293084_Contig_2256_Len585	585	34.5299145299
SYN6308_RS20300_WP_017296302.1	017296302_Contig_3245_Len294	294	38.0952380952
SYN6308_RS06765_WP_017293681.1	017293681_Contig_2485_Len498	498	29.718875502
SYN6308_RS22300_WP_017294473.1	017294473_Contig_97_Len2910	2910	37.2164948454
SYN6308_RS14125_WP_017295105.1	017295105_Contig_1544_Len879	879	38.4527872582
SYN6308_RS09770_WP_017294259.1	017294259_Contig_1862_Len744	744	39.7849462366
SYN6308_RS01700_WP_017292700.1	017292700_Contig_681_Len1383	1383	31.6702819957
SYN6308_RS03505_WP_026101899.1	026101899_Contig_2508_Len489	489	37.8323108384
SYN6308_RS16060_WP_017295469.1	017295469_Contig_159_Len2472	2472	32.3220064725
SYN6308_RS06275_WP_017293587.1	017293587_Contig_416_Len1671	1671	38.4799521245
SYN6308_RS21320_WP_017292493.1	017292493_Contig_3529_Len237	237	35.864978903
SYN6308_RS06940_WP_017293713.1	017293713_Contig_2343_Len558	558	34.229390681
SYN6308_RS03590_WP_017293063.1	017293063_Contig_2923_Len369	369	34.9593495935
SYN6308_RS18490_WP_017295940.1	017295940_Contig_1018_Len1146	1146	38.3944153578
SYN6308_RS05950_WP_017293526.1	017293526_Contig_2924_Len369	369	35.7723577236
SYN6308_RS00585_WP_017292480.1	017292480_Contig_2253_Len585	585	36.0683760684
SYN6308_RS04560_WP_017293254.1	017293254_Contig_40_Len3576	3576	27.8243847875
SYN6308_RS10795_WP_026102026.1	026102026_Contig_1025_Len1137	1137	37.9947229551
SYN6308_RS07935_WP_017293908.1	017293908_Contig_1404_Len936	936	38.2478632479
SYN6308_RS19725_WP_017296185.1	017296185_Contig_3169_Len312	312	31.4102564103
SYN6308_RS23920_WP_083879508.1	083879508_Contig_3886_Len150	150	36.0
SYN6308_RS11170_WP_017294527.1	017294527_Contig_1863_Len744	744	35.752688172
SYN6308_RS03970_WP_017293139.1	017293139_Contig_2800_Len402	402	39.0547263682
SYN6308_RS15990_WP_017295455.1	017295455_Contig_2524_Len483	483	39.1304347826
SYN6308_RS04015_WP_083879520.1	083879520_Contig_496_Len1569	1569	34.1618865519
