,am,ba,ee,ex,op,pl,sr,za,
OG5_155900,3,13,0,0,5,0,1,10,
OG5_140676,1,3,2,1,4,2,5,12,
OG5_163156,1,1,1,0,3,0,12,7,
OG5_152204,1,3,2,0,6,0,5,5,
OG5_130293,1,14,0,0,4,0,0,6,
OG5_133748,3,14,0,0,4,0,3,59,
OG5_137279,3,0,0,1,4,0,8,72,
OG5_136422,3,0,0,0,4,0,3,20,
OG5_159496,1,20,1,0,3,0,1,22,
OG5_138316,2,0,1,0,6,0,2,6,
OG5_133973,1,28,2,0,3,0,0,5,
OG5_144505,0,13,0,0,3,0,0,7,
OG5_160543,0,18,0,0,3,0,0,16,
OG5_132377,0,13,0,0,5,0,6,6,
OG5_168011,0,10,0,0,3,0,3,5,
OG5_136929,0,13,2,0,8,0,4,7,
OG5_171017,0,6,1,0,3,0,0,15,
