Original Name	New Name	Seq Length	 Seq GC
OSC7112_RS34145_WP_015211865.1	015211865_Contig_4851_Len384	384	46.3541666667
OSC7112_RS05680_WP_015175006.1	015175006_Contig_1083_Len1488	1488	49.3951612903
OSC7112_RS33355_WP_150111765.1	150111765_Contig_118_Len3849	3849	44.0374123149
OSC7112_RS01040_WP_015174178.1	015174178_Contig_1230_Len1407	1407	45.3447050462
OSC7112_RS22340_WP_015178031.1	015178031_Contig_2836_Len831	831	52.9482551143
OSC7112_RS31930_WP_150111731.1	150111731_Contig_5425_Len279	279	45.5197132616
OSC7112_RS09475_WP_015175693.1	015175693_Contig_1827_Len1152	1152	52.7777777778
OSC7112_RS26740_WP_015178814.1	015178814_Contig_4005_Len555	555	42.7027027027
OSC7112_RS37345_WP_015179023.1	015179023_Contig_5980_Len201	201	44.776119403
OSC7112_RS27415_WP_015178936.1	015178936_Contig_5318_Len300	300	37.0
OSC7112_RS06825_WP_041622404.1	041622404_Contig_3988_Len558	558	49.4623655914
OSC7112_RS26160_WP_015178719.1	015178719_Contig_4514_Len447	447	52.1252796421
OSC7112_RS34750_WP_015178527.1	015178527_Contig_669_Len1872	1872	37.5534188034
OSC7112_RS28965_WP_015179239.1	015179239_Contig_2997_Len783	783	53.12899106
OSC7112_RS22630_WP_041622688.1	041622688_Contig_4881_Len378	378	43.1216931217
OSC7112_RS32365_WP_015179653.1	015179653_Contig_8_Len6963	6963	46.3449662502
OSC7112_RS17645_WP_015177180.1	015177180_Contig_908_Len1632	1632	48.7132352941
OSC7112_RS09995_WP_015175791.1	015175791_Contig_2688_Len870	870	50.5747126437
OSC7112_RS14865_WP_015176670.1	015176670_Contig_576_Len2004	2004	45.1097804391
OSC7112_RS07495_WP_015175341.1	015175341_Contig_743_Len1776	1776	55.9684684685
OSC7112_RS31175_WP_015211632.1	015211632_Contig_4023_Len552	552	50.5434782609
OSC7112_RS00320_WP_015174048.1	015174048_Contig_537_Len2073	2073	52.0019295707
OSC7112_RS03810_WP_015174665.1	015174665_Contig_2603_Len894	894	48.322147651
OSC7112_RS01350_WP_041622310.1	041622310_Contig_3093_Len753	753	36.3877822045
OSC7112_RS18765_WP_015177377.1	015177377_Contig_6046_Len192	192	41.6666666667
OSC7112_RS27960_WP_015179043.1	015179043_Contig_584_Len1998	1998	46.4964964965
OSC7112_RS09415_WP_015175684.1	015175684_Contig_3450_Len669	669	44.5440956652
OSC7112_RS22745_WP_015178108.1	015178108_Contig_673_Len1869	1869	49.4917067951
OSC7112_RS31105_WP_150111718.1	150111718_Contig_5700_Len234	234	45.2991452991
OSC7112_RS05110_WP_015174901.1	015174901_Contig_4366_Len477	477	43.3962264151
OSC7112_RS31135_WP_041623806.1	041623806_Contig_3173_Len735	735	44.3537414966
OSC7112_RS06210_WP_015175110.1	015175110_Contig_982_Len1566	1566	46.6794380587
OSC7112_RS22045_WP_015177981.1	015177981_Contig_562_Len2028	2028	46.1538461538
OSC7112_RS37600_WP_015179831.1	015179831_Contig_6086_Len186	186	43.5483870968
OSC7112_RS14010_WP_015176509.1	015176509_Contig_1308_Len1365	1365	54.8717948718
OSC7112_RS30885_WP_015179605.1	015179605_Contig_2478_Len936	936	46.3675213675
OSC7112_RS02125_WP_015174353.1	015174353_Contig_5547_Len255	255	46.6666666667
OSC7112_RS33550_WP_015179847.1	015179847_Contig_4491_Len453	453	53.8631346578
OSC7112_RS17840_WP_015177220.1	015177220_Contig_2372_Len966	966	48.7577639752
OSC7112_RS13160_WP_015176354.1	015176354_Contig_3043_Len771	771	41.2451361868
OSC7112_RS32225_WP_015179633.1	015179633_Contig_2283_Len996	996	44.1767068273
OSC7112_RS24250_WP_015178369.1	015178369_Contig_1605_Len1227	1227	51.8337408313
OSC7112_RS06670_WP_015175191.1	015175191_Contig_37_Len5454	5454	40.7407407407
OSC7112_RS06095_WP_015175088.1	015175088_Contig_1846_Len1143	1143	46.9816272966
OSC7112_RS06005_WP_015175072.1	015175072_Contig_385_Len2460	2460	48.2520325203
OSC7112_RS23965_WP_015178323.1	015178323_Contig_287_Len2793	2793	41.3533834586
OSC7112_RS05690_WP_015175008.1	015175008_Contig_2577_Len900	900	42.7777777778
OSC7112_RS27010_WP_015178864.1	015178864_Contig_4516_Len447	447	44.0715883669
OSC7112_RS37980_WP_150111514.1	150111514_Contig_5909_Len207	207	43.961352657
OSC7112_RS29190_WP_015179284.1	015179284_Contig_388_Len2436	2436	44.6223316913
OSC7112_RS32470_WP_015179669.1	015179669_Contig_1210_Len1416	1416	46.3983050847
OSC7112_RS24645_WP_150111606.1	150111606_Contig_5360_Len291	291	51.2027491409
OSC7112_RS11460_WP_015176056.1	015176056_Contig_2317_Len984	984	50.1016260163
OSC7112_RS23875_WP_015178306.1	015178306_Contig_2348_Len975	975	42.358974359
OSC7112_RS06885_WP_015175230.1	015175230_Contig_3672_Len621	621	53.1400966184
OSC7112_RS34555_WP_015177001.1	015177001_Contig_94_Len4251	4251	54.8106327923
OSC7112_RS29495_WP_015179339.1	015179339_Contig_1917_Len1122	1122	50.8912655971
OSC7112_RS29735_WP_015179387.1	015179387_Contig_489_Len2163	2163	48.0813684697
OSC7112_RS10945_WP_006631417.1	006631417_Contig_5914_Len207	207	45.4106280193
OSC7112_RS15455_WP_015176783.1	015176783_Contig_714_Len1815	1815	47.5482093664
OSC7112_RS07745_WP_015175389.1	015175389_Contig_5453_Len273	273	44.3223443223
OSC7112_RS08245_WP_015175472.1	015175472_Contig_1097_Len1479	1479	46.7207572684
OSC7112_RS03930_WP_015174687.1	015174687_Contig_5377_Len285	285	53.3333333333
OSC7112_RS08895_WP_015175594.1	015175594_Contig_3948_Len567	567	42.5044091711
OSC7112_RS22865_WP_015178132.1	015178132_Contig_68_Len4833	4833	52.307055659
OSC7112_RS03560_WP_015174617.1	015174617_Contig_4989_Len357	357	40.8963585434
OSC7112_RS25595_WP_015178613.1	015178613_Contig_459_Len2232	2232	38.4408602151
OSC7112_RS16790_WP_015177021.1	015177021_Contig_2845_Len828	828	45.7729468599
OSC7112_RS33545_WP_015179846.1	015179846_Contig_5985_Len201	201	51.2437810945
OSC7112_RS29450_WP_015179330.1	015179330_Contig_5423_Len279	279	40.1433691756
OSC7112_RS12740_WP_015176277.1	015176277_Contig_14_Len6075	6075	43.7201646091
OSC7112_RS03085_WP_015174522.1	015174522_Contig_1356_Len1335	1335	45.8426966292
OSC7112_RS09470_WP_041622453.1	041622453_Contig_1410_Len1314	1314	45.3576864536
OSC7112_RS27180_WP_015178893.1	015178893_Contig_858_Len1674	1674	48.5065710872
OSC7112_RS25090_WP_015178526.1	015178526_Contig_4946_Len366	366	36.8852459016
OSC7112_RS29075_WP_015179260.1	015179260_Contig_1408_Len1317	1317	49.8861047836
OSC7112_RS35195_WP_015174478.1	015174478_Contig_5988_Len198	198	42.9292929293
OSC7112_RS00810_WP_015174136.1	015174136_Contig_1470_Len1281	1281	48.4777517564
OSC7112_RS37570_WP_015179761.1	015179761_Contig_5662_Len240	240	42.9166666667
OSC7112_RS07770_WP_015175394.1	015175394_Contig_4708_Len408	408	51.2254901961
OSC7112_RS29560_WP_015179352.1	015179352_Contig_1377_Len1332	1332	41.4414414414
OSC7112_RS36660_WP_150111747.1	150111747_Contig_6140_Len168	168	53.5714285714
OSC7112_RS34495_WP_015176485.1	015176485_Contig_80_Len4539	4539	45.2081956378
OSC7112_RS10175_WP_015175819.1	015175819_Contig_5514_Len261	261	54.0229885057
OSC7112_RS15480_WP_041622555.1	041622555_Contig_630_Len1923	1923	48.9859594384
OSC7112_RS20805_WP_015177754.1	015177754_Contig_2373_Len966	966	43.685300207
OSC7112_RS23090_WP_015178170.1	015178170_Contig_4175_Len516	516	50.9689922481
OSC7112_RS04245_WP_015174743.1	015174743_Contig_5363_Len288	288	45.1388888889
OSC7112_RS32810_WP_015179730.1	015179730_Contig_4820_Len390	390	44.8717948718
OSC7112_RS30580_WP_015179549.1	015179549_Contig_3966_Len564	564	41.3120567376
OSC7112_RS09720_WP_015175737.1	015175737_Contig_4384_Len474	474	46.6244725738
OSC7112_RS05215_WP_015174922.1	015174922_Contig_4010_Len552	552	44.384057971
OSC7112_RS05745_WP_015175019.1	015175019_Contig_1643_Len1212	1212	44.7194719472
OSC7112_RS08405_WP_015175499.1	015175499_Contig_2781_Len843	843	49.8220640569
OSC7112_RS15010_WP_006635455.1	006635455_Contig_5871_Len213	213	45.0704225352
OSC7112_RS20855_WP_015177765.1	015177765_Contig_354_Len2559	2559	46.0336068777
OSC7112_RS15190_WP_015176732.1	015176732_Contig_3417_Len678	678	40.1179941003
OSC7112_RS17315_WP_015177119.1	015177119_Contig_844_Len1683	1683	51.8122400475
OSC7112_RS11855_WP_015176123.1	015176123_Contig_1649_Len1212	1212	44.4719471947
OSC7112_RS22620_WP_015178083.1	015178083_Contig_2618_Len891	891	44.8933782267
OSC7112_RS13695_WP_015176454.1	015176454_Contig_4599_Len429	429	41.958041958
OSC7112_RS15815_WP_015176847.1	015176847_Contig_3216_Len726	726	52.7548209366
OSC7112_RS16390_WP_015176954.1	015176954_Contig_759_Len1758	1758	47.95221843
OSC7112_RS11625_WP_015176085.1	015176085_Contig_640_Len1914	1914	49.1640543365
OSC7112_RS14640_WP_015176628.1	015176628_Contig_1815_Len1158	1158	53.2815198618
OSC7112_RS15835_WP_006635503.1	006635503_Contig_5590_Len249	249	46.1847389558
OSC7112_RS34625_WP_015177362.1	015177362_Contig_1758_Len1179	1179	42.1543681086
OSC7112_RS10770_WP_015175930.1	015175930_Contig_5628_Len243	243	43.2098765432
OSC7112_RS36150_WP_083888200.1	083888200_Contig_6174_Len126	126	44.4444444444
OSC7112_RS38825_WP_015179596.1	015179596_Contig_5546_Len258	258	40.3100775194
OSC7112_RS37760_WP_150111642.1	150111642_Contig_4137_Len522	522	48.6590038314
OSC7112_RS29985_WP_015179436.1	015179436_Contig_4502_Len450	450	54.0
OSC7112_RS09055_WP_015175622.1	015175622_Contig_3396_Len681	681	47.1365638767
OSC7112_RS22395_WP_015178042.1	015178042_Contig_5748_Len228	228	47.3684210526
OSC7112_RS26970_WP_015178854.1	015178854_Contig_4207_Len510	510	40.5882352941
OSC7112_RS04665_WP_015174816.1	015174816_Contig_2163_Len1038	1038	49.710982659
OSC7112_RS14255_WP_015176552.1	015176552_Contig_2966_Len792	792	49.3686868687
OSC7112_RS23955_WP_015178321.1	015178321_Contig_1744_Len1185	1185	55.0210970464
OSC7112_RS08220_WP_015175467.1	015175467_Contig_1549_Len1248	1248	36.9391025641
OSC7112_RS20905_WP_015177776.1	015177776_Contig_3439_Len672	672	46.5773809524
OSC7112_RS09505_WP_015175699.1	015175699_Contig_374_Len2499	2499	41.6166466587
OSC7112_RS34005_WP_015211839.1	015211839_Contig_589_Len1992	1992	44.3775100402
OSC7112_RS16845_WP_015177030.1	015177030_Contig_2571_Len903	903	51.4950166113
OSC7112_RS00285_WP_015174041.1	015174041_Contig_3881_Len579	579	50.2590673575
OSC7112_RS19290_WP_015177478.1	015177478_Contig_1056_Len1503	1503	39.4544244844
OSC7112_RS07160_WP_015175278.1	015175278_Contig_243_Len2973	2973	48.2341069627
OSC7112_RS09560_WP_015175708.1	015175708_Contig_3989_Len558	558	55.017921147
OSC7112_RS29950_WP_015179428.1	015179428_Contig_5157_Len333	333	46.8468468468
OSC7112_RS05960_WP_015175059.1	015175059_Contig_5167_Len330	330	50.0
OSC7112_RS26310_WP_041622748.1	041622748_Contig_5509_Len264	264	47.7272727273
OSC7112_RS19465_WP_015177508.1	015177508_Contig_3623_Len633	633	44.3917851501
OSC7112_RS20910_WP_015177777.1	015177777_Contig_4832_Len387	387	44.7028423773
OSC7112_RS29650_WP_015179368.1	015179368_Contig_772_Len1737	1737	47.4956822107
OSC7112_RS26910_WP_015178842.1	015178842_Contig_4343_Len483	483	48.2401656315
OSC7112_RS15255_WP_015176743.1	015176743_Contig_1627_Len1218	1218	45.4844006568
OSC7112_RS09590_WP_015175713.1	015175713_Contig_2305_Len987	987	49.6453900709
OSC7112_RS38845_WP_150111721.1	150111721_Contig_6054_Len192	192	54.1666666667
OSC7112_RS25790_WP_015178647.1	015178647_Contig_903_Len1635	1635	53.5168195719
OSC7112_RS02460_WP_015174418.1	015174418_Contig_2390_Len960	960	46.875
OSC7112_RS23295_WP_015178209.1	015178209_Contig_5559_Len255	255	41.568627451
OSC7112_RS23910_WP_015178313.1	015178313_Contig_5679_Len237	237	37.552742616
OSC7112_RS04700_WP_051041476.1	051041476_Contig_4740_Len402	402	39.8009950249
OSC7112_RS19640_WP_015177542.1	015177542_Contig_4186_Len513	513	43.6647173489
OSC7112_RS26295_WP_015178737.1	015178737_Contig_2528_Len918	918	47.385620915
OSC7112_RS22835_WP_015178125.1	015178125_Contig_333_Len2616	2616	50.6116207951
OSC7112_RS06525_WP_015175169.1	015175169_Contig_4720_Len405	405	38.5185185185
OSC7112_RS25240_WP_015178550.1	015178550_Contig_3830_Len591	591	51.0998307953
OSC7112_RS35895_WP_071883993.1	071883993_Contig_5288_Len306	306	42.4836601307
OSC7112_RS23105_WP_015178173.1	015178173_Contig_2457_Len942	942	44.161358811
OSC7112_RS23730_WP_015178283.1	015178283_Contig_5219_Len324	324	44.1358024691
OSC7112_RS14500_WP_015176601.1	015176601_Contig_6133_Len174	174	47.7011494253
OSC7112_RS02200_WP_150111474.1	150111474_Contig_4633_Len420	420	45.2380952381
OSC7112_RS30700_WP_150111716.1	150111716_Contig_1811_Len1161	1161	42.9801894918
OSC7112_RS06610_WP_015175177.1	015175177_Contig_3947_Len567	567	52.557319224
OSC7112_RS06645_WP_015175185.1	015175185_Contig_2854_Len825	825	47.3939393939
OSC7112_RS17240_WP_015177105.1	015177105_Contig_4159_Len519	519	39.4990366089
OSC7112_RS18185_WP_015177273.1	015177273_Contig_1925_Len1116	1116	49.2831541219
OSC7112_RS19035_WP_015177426.1	015177426_Contig_4004_Len555	555	46.3063063063
OSC7112_RS30880_WP_015179604.1	015179604_Contig_181_Len3255	3255	51.8279569892
OSC7112_RS07475_WP_006632706.1	006632706_Contig_5262_Len312	312	45.1923076923
OSC7112_RS04660_WP_015174815.1	015174815_Contig_3883_Len579	579	46.804835924
OSC7112_RS03855_WP_015174674.1	015174674_Contig_2858_Len822	822	47.6885644769
OSC7112_RS16810_WP_015177025.1	015177025_Contig_2383_Len963	963	52.2326064382
OSC7112_RS03295_WP_015174565.1	015174565_Contig_1736_Len1188	1188	45.4545454545
OSC7112_RS19900_WP_015177590.1	015177590_Contig_6143_Len159	159	48.427672956
OSC7112_RS19525_WP_015177519.1	015177519_Contig_733_Len1788	1788	53.9149888143
OSC7112_RS00685_WP_015174115.1	015174115_Contig_2792_Len840	840	47.7380952381
OSC7112_RS30085_WP_015179456.1	015179456_Contig_5443_Len276	276	42.7536231884
OSC7112_RS08935_WP_015175602.1	015175602_Contig_1242_Len1398	1398	48.2117310443
OSC7112_RS06890_WP_015175232.1	015175232_Contig_3268_Len714	714	52.1008403361
OSC7112_RS11645_WP_150111659.1	150111659_Contig_1770_Len1176	1176	36.6496598639
OSC7112_RS16850_WP_015177031.1	015177031_Contig_1742_Len1185	1185	50.8860759494
OSC7112_RS07195_WP_015175285.1	015175285_Contig_4029_Len549	549	50.4553734062
OSC7112_RS23865_WP_015178304.1	015178304_Contig_34_Len5490	5490	45.5555555556
OSC7112_RS22945_WP_015178144.1	015178144_Contig_4108_Len531	531	45.5743879473
OSC7112_RS13175_WP_015176357.1	015176357_Contig_3701_Len615	615	44.0650406504
OSC7112_RS06285_WP_150111504.1	150111504_Contig_290_Len2778	2778	45.464362851
OSC7112_RS20300_WP_015177664.1	015177664_Contig_2120_Len1056	1056	47.3484848485
OSC7112_RS38475_WP_150111574.1	150111574_Contig_5109_Len339	339	49.2625368732
OSC7112_RS16380_WP_015176952.1	015176952_Contig_2786_Len843	843	37.3665480427
OSC7112_RS13995_WP_015176506.1	015176506_Contig_1822_Len1155	1155	49.4372294372
OSC7112_RS13005_WP_015176323.1	015176323_Contig_4891_Len375	375	53.0666666667
OSC7112_RS05240_WP_150111499.1	150111499_Contig_5206_Len324	324	46.9135802469
OSC7112_RS03145_WP_015174535.1	015174535_Contig_1049_Len1509	1509	47.3823724321
OSC7112_RS39130_WP_150111771.1	150111771_Contig_6088_Len186	186	55.376344086
OSC7112_RS00860_WP_015174144.1	015174144_Contig_3864_Len582	582	51.8900343643
OSC7112_RS13980_WP_051041512.1	051041512_Contig_4400_Len471	471	42.0382165605
OSC7112_RS05620_WP_015174993.1	015174993_Contig_4081_Len537	537	50.0931098696
OSC7112_RS32180_WP_051041631.1	051041631_Contig_1289_Len1374	1374	45.5604075691
OSC7112_RS05715_WP_015175013.1	015175013_Contig_2191_Len1026	1026	47.9532163743
