Original Name	New Name	Seq Length	 Seq GC
A5482_RS10910_WP_069791256.1	069791256_Contig_1779_Len627	627	39.7129186603
A5482_RS12240_WP_069791512.1	069791512_Contig_2264_Len417	417	32.3741007194
A5482_RS04475_WP_069790153.1	069790153_Contig_1138_Len945	945	43.5978835979
A5482_RS01685_WP_069789528.1	069789528_Contig_1424_Len798	798	37.969924812
A5482_RS14225_WP_069791871.1	069791871_Contig_1324_Len846	846	28.1323877069
A5482_RS00905_WP_069789379.1	069789379_Contig_1254_Len882	882	46.8253968254
A5482_RS03945_WP_069789945.1	069789945_Contig_2215_Len429	429	36.5967365967
A5482_RS09330_WP_069790968.1	069790968_Contig_2195_Len438	438	38.8127853881
A5482_RS04955_WP_069790129.1	069790129_Contig_1863_Len582	582	31.0996563574
A5482_RS12525_WP_069791562.1	069791562_Contig_1071_Len993	993	36.3544813696
A5482_RS09395_WP_069790978.1	069790978_Contig_2150_Len456	456	30.2631578947
A5482_RS12270_WP_083260478.1	083260478_Contig_1319_Len849	849	41.3427561837
A5482_RS04265_WP_069790004.1	069790004_Contig_921_Len1086	1086	39.5948434622
A5482_RS09665_WP_069791040.1	069791040_Contig_787_Len1173	1173	42.3699914749
A5482_RS04360_WP_069790021.1	069790021_Contig_2918_Len138	138	39.1304347826
A5482_RS03025_WP_069789777.1	069789777_Contig_651_Len1278	1278	45.6181533646
A5482_RS03350_WP_069789835.1	069789835_Contig_11_Len4335	4335	37.047289504
A5482_RS15445_WP_069792097.1	069792097_Contig_2640_Len279	279	33.3333333333
A5482_RS05375_WP_069790225.1	069790225_Contig_2296_Len402	402	47.7611940299
A5482_RS13545_WP_069791744.1	069791744_Contig_1401_Len810	810	41.1111111111
A5482_RS10885_WP_069791254.1	069791254_Contig_1874_Len579	579	41.1053540587
A5482_RS10830_WP_069791243.1	069791243_Contig_122_Len2361	2361	32.5285895807
A5482_RS03980_WP_083260386.1	083260386_Contig_19_Len4008	4008	32.6846307385
A5482_RS06800_WP_069790492.1	069790492_Contig_1477_Len774	774	36.9509043928
A5482_RS04335_WP_069790016.1	069790016_Contig_634_Len1290	1290	41.7829457364
A5482_RS15095_WP_069792034.1	069792034_Contig_279_Len1749	1749	29.7884505432
A5482_RS08200_WP_069790747.1	069790747_Contig_1628_Len705	705	37.4468085106
A5482_RS06465_WP_069790429.1	069790429_Contig_1102_Len972	972	40.5349794239
A5482_RS09345_WP_069790970.1	069790970_Contig_596_Len1323	1323	39.3801965231
A5482_RS11785_WP_069791420.1	069791420_Contig_1323_Len846	846	39.1252955083
A5482_RS06730_WP_069790479.1	069790479_Contig_764_Len1185	1185	39.4092827004
A5482_RS08965_WP_069790900.1	069790900_Contig_2362_Len381	381	33.8582677165
A5482_RS13820_WP_069791793.1	069791793_Contig_828_Len1146	1146	38.9179755672
A5482_RS01125_WP_069789422.1	069789422_Contig_2240_Len423	423	28.6052009456
A5482_RS00490_WP_069789304.1	069789304_Contig_2228_Len426	426	28.4037558685
A5482_RS14865_WP_069791992.1	069791992_Contig_1416_Len804	804	39.552238806
A5482_RS08415_WP_069790785.1	069790785_Contig_2308_Len399	399	28.320802005
A5482_RS03605_WP_069789885.1	069789885_Contig_1694_Len672	672	38.9880952381
A5482_RS10285_WP_015221999.1	015221999_Contig_2933_Len105	105	31.4285714286
A5482_RS07515_WP_069790627.1	069790627_Contig_2427_Len351	351	28.49002849
A5482_RS08475_WP_069790847.1	069790847_Contig_1701_Len669	669	40.2092675635
