Original Name	New Name	Seq Length	 Seq GC
WZ77_RS13840_WP_006667975.1	006667975_Contig_3265_Len489	489	42.1267893661
WZ77_RS21985_WP_035760232.1	035760232_Contig_2763_Len645	645	46.0465116279
WZ77_RS00990_WP_046318520.1	046318520_Contig_3613_Len404	404	41.0891089109
WZ77_RS20655_WP_046321155.1	046321155_Contig_322_Len2175	2175	42.5747126437
WZ77_RS03100_WP_006622756.1	006622756_Contig_4570_Len225	225	40.0
WZ77_RS09060_WP_046319689.1	046319689_Contig_453_Len1881	1881	46.783625731
WZ77_RS04125_WP_008056353.1	008056353_Contig_3568_Len414	414	46.6183574879
WZ77_RS14375_WP_006670153.1	006670153_Contig_3469_Len438	438	39.497716895
WZ77_RS05250_WP_006669497.1	006669497_Contig_848_Len1452	1452	42.217630854
WZ77_RS24405_WP_006616272.1	006616272_Contig_4356_Len246	246	52.0325203252
WZ77_RS06640_WP_046319368.1	046319368_Contig_1193_Len1233	1233	40.9570154096
WZ77_RS29410_WP_006624169.1	006624169_Contig_3198_Len516	516	47.480620155
WZ77_RS28420_WP_006668504.1	006668504_Contig_4512_Len228	228	46.0526315789
WZ77_RS02950_WP_046318813.1	046318813_Contig_426_Len1938	1938	46.8524251806
WZ77_RS22080_WP_006626115.1	006626115_Contig_4159_Len282	282	42.9078014184
WZ77_RS27530_WP_006616470.1	006616470_Contig_5017_Len117	117	41.8803418803
WZ77_RS15625_WP_006620437.1	006620437_Contig_2102_Len867	867	48.7889273356
WZ77_RS10580_WP_006621065.1	006621065_Contig_1566_Len1068	1068	50.6554307116
WZ77_RS03205_WP_006668967.1	006668967_Contig_4964_Len180	180	48.8888888889
WZ77_RS13510_WP_006667925.1	006667925_Contig_1395_Len1143	1143	47.0691163605
WZ77_RS20695_WP_046321169.1	046321169_Contig_183_Len2625	2625	40.419047619
WZ77_RS00410_WP_006669335.1	006669335_Contig_479_Len1839	1839	48.8308863513
WZ77_RS02905_WP_046318809.1	046318809_Contig_857_Len1437	1437	40.5706332637
WZ77_RS12030_WP_006621364.1	006621364_Contig_508_Len1800	1800	41.7222222222
WZ77_RS19140_WP_006668130.1	006668130_Contig_1191_Len1233	1233	44.6066504461
WZ77_RS27810_WP_006669847.1	006669847_Contig_4862_Len189	189	49.7354497354
WZ77_RS07045_WP_006625130.1	006625130_Contig_992_Len1356	1356	41.8879056047
WZ77_RS06740_WP_006625075.1	006625075_Contig_825_Len1464	1464	41.0519125683
WZ77_RS15095_WP_046320518.1	046320518_Contig_511_Len1797	1797	37.5626043406
WZ77_RS01550_WP_006623186.1	006623186_Contig_4713_Len207	207	36.7149758454
WZ77_RS20945_WP_006626270.1	006626270_Contig_552_Len1749	1749	47.7987421384
WZ77_RS25395_WP_006622136.1	006622136_Contig_908_Len1404	1404	42.0227920228
WZ77_RS23175_WP_006668400.1	006668400_Contig_4669_Len213	213	41.3145539906
WZ77_RS08555_WP_006669574.1	006669574_Contig_811_Len1476	1476	46.0704607046
WZ77_RS06365_WP_006624991.1	006624991_Contig_758_Len1515	1515	50.3630363036
WZ77_RS02390_WP_006623001.1	006623001_Contig_1561_Len1071	1071	45.4715219421
WZ77_RS16770_WP_006619096.1	006619096_Contig_3991_Len318	318	46.8553459119
WZ77_RS08775_WP_006625536.1	006625536_Contig_4456_Len234	234	44.4444444444
WZ77_RS04055_WP_006622571.1	006622571_Contig_1811_Len972	972	47.633744856
WZ77_RS18740_WP_046320949.1	046320949_Contig_2318_Len790	790	49.4936708861
WZ77_RS00125_WP_006669308.1	006669308_Contig_3385_Len462	462	43.0735930736
WZ77_RS27600_WP_006670004.1	006670004_Contig_4364_Len243	243	47.7366255144
WZ77_RS00940_WP_046318495.1	046318495_Contig_2332_Len783	783	45.0830140485
WZ77_RS07155_WP_006625159.1	006625159_Contig_1633_Len1044	1044	42.816091954
WZ77_RS19370_WP_008049157.1	008049157_Contig_4848_Len192	192	49.4791666667
WZ77_RS11230_WP_046319985.1	046319985_Contig_1785_Len981	981	55.4536187564
WZ77_RS12570_WP_006621472.1	006621472_Contig_387_Len2013	2013	47.0938897168
WZ77_RS00555_WP_006670692.1	006670692_Contig_3907_Len339	339	45.4277286136
WZ77_RS20605_WP_046321142.1	046321142_Contig_3159_Len525	525	45.3333333333
