Original Name	New Name	Seq Length	 Seq GC
KV40_RS06475_WP_036479077.1	036479077_Contig_66_Len3561	3561	36.7031732659
KV40_RS28205_WP_036488248.1	036488248_Contig_225_Len2571	2571	37.5729288215
KV40_RS14220_WP_036482705.1	036482705_Contig_800_Len1611	1611	39.1061452514
KV40_RS17930_WP_052055739.1	052055739_Contig_5805_Len210	210	42.8571428571
KV40_RS01720_WP_036477354.1	036477354_Contig_3417_Len669	669	42.0029895366
KV40_RS02595_WP_036477714.1	036477714_Contig_5899_Len195	195	31.7948717949
KV40_RS07195_WP_036479433.1	036479433_Contig_2748_Len828	828	50.4830917874
KV40_RS07660_WP_036479585.1	036479585_Contig_4567_Len423	423	38.5342789598
KV40_RS18765_WP_036484752.1	036484752_Contig_241_Len2520	2520	40.9126984127
KV40_RS13395_WP_036482215.1	036482215_Contig_1342_Len1305	1305	38.8505747126
KV40_RS03105_WP_036477892.1	036477892_Contig_2747_Len828	828	40.7004830918
KV40_RS26225_WP_036487504.1	036487504_Contig_5676_Len234	234	37.1794871795
KV40_RS27380_WP_036487885.1	036487885_Contig_3518_Len648	648	44.9074074074
KV40_RS10330_WP_036480546.1	036480546_Contig_4746_Len390	390	34.6153846154
KV40_RS31890_WP_052055386.1	052055386_Contig_2302_Len945	945	42.5396825397
KV40_RS00790_WP_036476826.1	036476826_Contig_5234_Len306	306	43.137254902
KV40_RS19490_WP_036485152.1	036485152_Contig_3493_Len651	651	45.3149001536
KV40_RS32710_WP_081942958.1	081942958_Contig_216_Len2598	2598	38.7220939184
KV40_RS22220_WP_036486124.1	036486124_Contig_211_Len2613	2613	45.0822809032
KV40_RS08775_WP_036480001.1	036480001_Contig_595_Len1797	1797	42.1814134669
KV40_RS21010_WP_036485703.1	036485703_Contig_5172_Len321	321	35.2024922118
KV40_RS21210_WP_036485766.1	036485766_Contig_4275_Len480	480	40.4166666667
KV40_RS20120_WP_036485395.1	036485395_Contig_1954_Len1059	1059	46.4589235127
KV40_RS15560_WP_036483336.1	036483336_Contig_3757_Len594	594	41.9191919192
KV40_RS27215_WP_036487807.1	036487807_Contig_427_Len2070	2070	40.6763285024
KV40_RS19480_WP_036485146.1	036485146_Contig_5930_Len192	192	44.2708333333
KV40_RS18320_WP_036484566.1	036484566_Contig_3454_Len660	660	44.8484848485
KV40_RS05585_WP_081942774.1	081942774_Contig_2432_Len906	906	44.9227373068
KV40_RS19520_WP_036485164.1	036485164_Contig_1652_Len1164	1164	41.1512027491
KV40_RS28265_WP_036488280.1	036488280_Contig_1161_Len1389	1389	36.6450683945
KV40_RS11130_WP_036481078.1	036481078_Contig_3371_Len681	681	40.0881057269
