Original Name	New Name	Seq Length	 Seq GC
ON05_RS00810_WP_010467701.1	010467701_Contig_3479_Len708	708	50.8474576271
ON05_RS28065_WP_010478873.1	010478873_Contig_5496_Len360	360	44.7222222222
ON05_RS18555_WP_010475418.1	010475418_Contig_3023_Len807	807	50.0619578686
ON05_RS28020_WP_010478858.1	010478858_Contig_5382_Len378	378	42.328042328
ON05_RS13555_WP_010473388.1	010473388_Contig_1843_Len1122	1122	45.8110516934
ON05_RS18505_WP_039780712.1	039780712_Contig_188_Len2682	2682	52.2371364653
ON05_RS33720_WP_010481133.1	010481133_Contig_12_Len5598	5598	50.911039657
ON05_RS20425_WP_029315339.1	029315339_Contig_170_Len2754	2754	50.4720406681
ON05_RS18390_WP_010475360.1	010475360_Contig_571_Len1896	1896	48.417721519
ON05_RS11730_WP_010472647.1	010472647_Contig_231_Len2562	2562	49.7267759563
ON05_RS36170_WP_029315890.1	029315890_Contig_2979_Len816	816	52.818627451
ON05_RS17405_WP_010475031.1	010475031_Contig_1417_Len1281	1281	50.1170960187
ON05_RS12470_WP_010472967.1	010472967_Contig_1372_Len1296	1296	48.9197530864
ON05_RS02770_WP_050857416.1	050857416_Contig_5412_Len375	375	42.9333333333
ON05_RS21560_WP_010476368.1	010476368_Contig_1037_Len1461	1461	50.9240246407
ON05_RS01505_WP_010467954.1	010467954_Contig_2650_Len903	903	47.9512735327
ON05_RS11250_WP_010472441.1	010472441_Contig_798_Len1638	1638	48.0463980464
ON05_RS36265_WP_010482281.1	010482281_Contig_6043_Len273	273	45.4212454212
ON05_RS33250_WP_010480954.1	010480954_Contig_5878_Len300	300	52.3333333333
ON05_RS30990_WP_010480077.1	010480077_Contig_5256_Len396	396	44.1919191919
ON05_RS13720_WP_010473468.1	010473468_Contig_721_Len1710	1710	51.6959064327
ON05_RS22595_WP_010476654.1	010476654_Contig_5801_Len312	312	49.0384615385
ON05_RS06810_WP_010470563.1	010470563_Contig_3215_Len759	759	38.6034255599
ON05_RS07900_WP_010471038.1	010471038_Contig_5102_Len418	418	52.8708133971
ON05_RS38970_WP_010481071.1	010481071_Contig_6045_Len273	273	49.8168498168
ON05_RS22575_WP_085945217.1	085945217_Contig_341_Len2289	2289	53.997378768
ON05_RS31105_WP_010480128.1	010480128_Contig_5730_Len324	324	52.1604938272
ON05_RS34380_WP_039782193.1	039782193_Contig_4113_Len582	582	45.1890034364
ON05_RS23195_WP_010476800.1	010476800_Contig_964_Len1500	1500	41.3333333333
ON05_RS07675_WP_029315066.1	029315066_Contig_2231_Len1011	1011	48.0712166172
ON05_RS32890_WP_010480806.1	010480806_Contig_3686_Len663	663	49.1704374057
ON05_RS02200_WP_010468287.1	010468287_Contig_4621_Len492	492	44.1056910569
ON05_RS19225_WP_010475632.1	010475632_Contig_1314_Len1326	1326	42.4585218703
