Original Name	New Name	Seq Length	 Seq GC
LEPTO7375_RS10870_WP_006514618.1	006514618_Contig_2488_Len1092	1092	49.5421245421
LEPTO7375_RS42205_WP_083877056.1	083877056_Contig_3139_Len930	930	42.5806451613
LEPTO7375_RS23545_WP_006517044.1	006517044_Contig_5779_Len438	438	44.0639269406
LEPTO7375_RS25620_WP_006517456.1	006517456_Contig_2205_Len1164	1164	36.5979381443
LEPTO7375_RS39590_WP_052588633.1	052588633_Contig_6634_Len312	312	40.0641025641
LEPTO7375_RS07085_WP_052588334.1	052588334_Contig_4432_Len669	669	52.9147982063
LEPTO7375_RS18755_WP_006516141.1	006516141_Contig_7247_Len222	222	43.2432432432
LEPTO7375_RS37355_WP_006519662.1	006519662_Contig_5618_Len462	462	38.961038961
LEPTO7375_RS36535_WP_006519499.1	006519499_Contig_4038_Len744	744	41.1290322581
LEPTO7375_RS31785_WP_006518620.1	006518620_Contig_2245_Len1155	1155	36.8831168831
LEPTO7375_RS27035_WP_006517731.1	006517731_Contig_4560_Len648	648	46.7592592593
LEPTO7375_RS12170_WP_006514869.1	006514869_Contig_825_Len1794	1794	38.9074693423
LEPTO7375_RS18175_WP_006516028.1	006516028_Contig_7225_Len225	225	52.8888888889
LEPTO7375_RS22525_WP_006516866.1	006516866_Contig_6063_Len393	393	49.3638676845
LEPTO7375_RS21425_WP_006516646.1	006516646_Contig_578_Len2103	2103	52.7341892534
LEPTO7375_RS20405_WP_006516458.1	006516458_Contig_3477_Len852	852	50.234741784
LEPTO7375_RS14945_WP_006515407.1	006515407_Contig_5795_Len435	435	50.1149425287
LEPTO7375_RS40865_WP_006513895.1	006513895_Contig_87_Len3882	3882	42.9933024214
LEPTO7375_RS26850_WP_006517693.1	006517693_Contig_6300_Len360	360	44.7222222222
LEPTO7375_RS19775_WP_006516334.1	006516334_Contig_6772_Len291	291	44.3298969072
LEPTO7375_RS20590_WP_036020850.1	036020850_Contig_4200_Len714	714	47.4789915966
LEPTO7375_RS07655_WP_006514008.1	006514008_Contig_7440_Len195	195	41.0256410256
LEPTO7375_RS35975_WP_006519404.1	006519404_Contig_1075_Len1617	1617	53.8033395176
LEPTO7375_RS12755_WP_006514971.1	006514971_Contig_6403_Len345	345	47.2463768116
LEPTO7375_RS17780_WP_006515951.1	006515951_Contig_3234_Len906	906	50.0
LEPTO7375_RS39570_WP_036022574.1	036022574_Contig_515_Len2202	2202	52.770208901
LEPTO7375_RS10120_WP_006514475.1	006514475_Contig_2293_Len1143	1143	47.7690288714
LEPTO7375_RS41630_WP_006516998.1	006516998_Contig_38_Len5040	5040	40.0396825397
LEPTO7375_RS10565_WP_006514559.1	006514559_Contig_2569_Len1071	1071	46.8720821662
LEPTO7375_RS19640_WP_006516307.1	006516307_Contig_7480_Len189	189	41.2698412698
LEPTO7375_RS12775_WP_006514975.1	006514975_Contig_73_Len4068	4068	48.7217305801
LEPTO7375_RS39905_WP_006520118.1	006520118_Contig_6375_Len351	351	42.735042735
