,am,ba,ee,ex,op,pl,sr,za,
OG5_144629,2,67,2,0,1,4,15,1,
OG5_137907,6,170,3,0,0,0,23,8,
OG5_140157,4,182,2,0,0,1,15,0,
OG5_152429,2,85,1,0,4,2,42,8,
OG5_144187,8,50,2,1,3,6,31,1,
OG5_143264,1,71,3,1,2,2,17,1,
OG5_169253,3,54,1,0,3,5,16,0,
OG5_130620,6,110,1,1,2,1,22,1,
OG5_171052,2,72,3,0,2,0,20,0,
OG5_164818,2,81,5,0,0,0,19,5,
OG5_157697,5,44,0,1,0,5,25,0,
OG5_155474,6,223,4,1,1,3,45,2,
OG5_132290,8,383,2,0,0,1,24,8,
OG5_135724,4,234,2,3,1,3,30,0,
OG5_138525,7,170,1,2,0,2,22,3,
OG5_163861,7,37,5,0,3,0,32,0,
OG5_159475,5,73,2,0,1,2,15,7,
OG5_137868,4,332,5,0,0,0,23,8,
OG5_175135,4,84,2,0,2,1,21,5,
OG5_175495,3,48,3,2,3,2,45,8,
OG5_155095,5,48,5,0,1,4,30,1,
OG5_129770,9,35,0,0,0,0,16,0,
OG5_163007,4,60,4,1,0,1,32,0,
OG5_144436,3,218,1,1,2,1,15,7,
OG5_165980,1,41,5,0,0,0,55,0,
OG5_155047,1,40,4,2,0,0,100,0,
OG5_136235,1,151,0,0,1,0,25,0,
OG5_132912,1,492,3,0,0,1,68,1,
OG5_131890,1,516,1,0,2,2,18,0,
OG5_181191,0,38,3,0,0,0,52,0,
OG5_181295,0,47,5,0,1,0,17,0,
OG5_163009,0,33,0,0,0,0,15,0,
OG5_142453,0,74,3,0,0,0,23,6,
OG5_131575,0,490,1,0,0,2,26,0,
OG5_136076,0,280,0,0,0,0,23,0,
OG5_146847,0,84,4,0,3,3,31,0,
OG5_136950,0,127,2,0,2,6,20,5,
OG5_171049,0,68,1,0,0,1,23,0,
OG5_168793,0,54,4,0,0,0,43,5,
OG5_163020,0,81,2,0,1,0,37,2,
OG5_164867,0,78,0,0,0,0,15,1,
OG5_164838,0,63,3,0,1,6,33,6,
OG5_158803,0,36,3,0,0,0,32,0,
OG5_150838,0,80,0,0,0,0,28,0,
OG5_175509,0,41,5,0,0,2,21,0,
OG5_141285,0,113,0,0,0,0,17,0,
OG5_176519,0,98,0,0,0,0,36,0,
OG5_168036,0,57,4,0,0,1,35,6,
OG5_146635,0,33,1,0,0,0,18,4,
OG5_147345,0,117,0,0,1,0,19,0,
