Original Name	New Name	Seq Length	 Seq GC
C4E06_RS15805_WP_107668944.1	107668944_Contig_2759_Len618	618	44.6601941748
C4E06_RS10365_WP_107667997.1	107667997_Contig_2794_Len609	609	42.8571428571
C4E06_RS14660_WP_107668740.1	107668740_Contig_72_Len3156	3156	41.9518377693
C4E06_RS03930_WP_107666915.1	107666915_Contig_2510_Len696	696	38.6494252874
C4E06_RS24305_WP_107670949.1	107670949_Contig_1112_Len1206	1206	34.7429519071
C4E06_RS22155_WP_107670561.1	107670561_Contig_3410_Len441	441	34.2403628118
C4E06_RS09245_WP_107667815.1	107667815_Contig_1267_Len1143	1143	40.157480315
C4E06_RS22570_WP_107670632.1	107670632_Contig_4192_Len276	276	31.884057971
C4E06_RS23435_WP_107670786.1	107670786_Contig_819_Len1374	1374	31.8049490539
C4E06_RS22190_WP_107670566.1	107670566_Contig_2731_Len627	627	38.2775119617
C4E06_RS16785_WP_107669091.1	107669091_Contig_3186_Len495	495	45.6565656566
C4E06_RS20165_WP_107670140.1	107670140_Contig_416_Len1779	1779	38.6734120292
C4E06_RS21075_WP_107670390.1	107670390_Contig_3093_Len525	525	48.380952381
C4E06_RS06795_WP_107667375.1	107667375_Contig_222_Len2250	2250	35.0222222222
C4E06_RS15375_WP_107668872.1	107668872_Contig_806_Len1380	1380	36.6666666667
C4E06_RS18265_WP_107669445.1	107669445_Contig_4726_Len183	183	65.5737704918
C4E06_RS13305_WP_107668508.1	107668508_Contig_4311_Len252	252	33.3333333333
C4E06_RS09220_WP_107667810.1	107667810_Contig_4508_Len219	219	37.4429223744
C4E06_RS23395_WP_107670774.1	107670774_Contig_263_Len2112	2112	46.4015151515
C4E06_RS18640_WP_107669589.1	107669589_Contig_3566_Len405	405	39.7530864198
C4E06_RS05925_WP_107667210.1	107667210_Contig_2026_Len846	846	41.3711583924
C4E06_RS13860_WP_107668608.1	107668608_Contig_3483_Len423	423	38.7706855792
C4E06_RS01985_WP_107666554.1	107666554_Contig_3820_Len351	351	37.037037037
C4E06_RS24130_WP_107670916.1	107670916_Contig_1438_Len1059	1059	45.7034938621
C4E06_RS25755_WP_107671199.1	107671199_Contig_2434_Len723	723	41.0788381743
C4E06_RS20840_WP_107670350.1	107670350_Contig_526_Len1645	1645	35.1975683891
C4E06_RS03085_WP_107666759.1	107666759_Contig_2783_Len612	612	27.2875816993
C4E06_RS14285_WP_107668678.1	107668678_Contig_4574_Len213	213	37.0892018779
C4E06_RS03305_WP_107666798.1	107666798_Contig_3017_Len546	546	40.8424908425
C4E06_RS17525_WP_107669220.1	107669220_Contig_3341_Len456	456	27.6315789474
C4E06_RS21135_WP_107670415.1	107670415_Contig_4557_Len213	213	42.7230046948
C4E06_RS18030_WP_107669353.1	107669353_Contig_4427_Len234	234	46.5811965812
C4E06_RS11075_WP_107668106.1	107668106_Contig_2181_Len795	795	48.679245283
C4E06_RS02210_WP_107666594.1	107666594_Contig_2881_Len585	585	32.6495726496
C4E06_RS01055_WP_107666387.1	107666387_Contig_1914_Len882	882	34.5804988662
C4E06_RS16880_WP_107669104.1	107669104_Contig_1604_Len993	993	48.6404833837
C4E06_RS26635_WP_107671347.1	107671347_Contig_89_Len2994	2994	45.0901803607
C4E06_RS07745_WP_107667548.1	107667548_Contig_4566_Len213	213	52.5821596244
C4E06_RS01125_WP_107666398.1	107666398_Contig_2016_Len849	849	50.765606596
C4E06_RS21525_WP_107670466.1	107670466_Contig_4617_Len204	204	34.3137254902
C4E06_RS17405_WP_107669199.1	107669199_Contig_3058_Len537	537	35.7541899441
C4E06_RS16380_WP_107669025.1	107669025_Contig_2192_Len789	789	33.5868187579
C4E06_RS20050_WP_107670122.1	107670122_Contig_1069_Len1227	1227	40.749796251
C4E06_RS03960_WP_107666912.1	107666912_Contig_708_Len1458	1458	45.4046639232
C4E06_RS13960_WP_008275939.1	008275939_Contig_3632_Len390	390	38.7179487179
C4E06_RS08100_WP_107667611.1	107667611_Contig_1503_Len1038	1038	39.1136801541
C4E06_RS01180_WP_107666407.1	107666407_Contig_1041_Len1245	1245	45.702811245
C4E06_RS17745_WP_107669265.1	107669265_Contig_4354_Len246	246	45.1219512195
C4E06_RS06380_WP_107667297.1	107667297_Contig_3543_Len411	411	33.0900243309
C4E06_RS05065_WP_107667094.1	107667094_Contig_3790_Len357	357	41.1764705882
C4E06_RS05980_WP_107667220.1	107667220_Contig_1135_Len1197	1197	47.3684210526
C4E06_RS14490_WP_107668712.1	107668712_Contig_250_Len2154	2154	34.0297121634
C4E06_RS02460_WP_107666647.1	107666647_Contig_1772_Len930	930	33.0107526882
C4E06_RS16565_WP_107669053.1	107669053_Contig_1225_Len1161	1161	38.5012919897
C4E06_RS26425_WP_107671312.1	107671312_Contig_4706_Len186	186	41.3978494624
C4E06_RS20125_WP_107670133.1	107670133_Contig_3769_Len363	363	31.6804407713
C4E06_RS09810_WP_107667904.1	107667904_Contig_4705_Len186	186	35.4838709677
C4E06_RS16235_WP_107666572.1	107666572_Contig_988_Len1266	1266	36.2559241706
C4E06_RS00605_WP_107666305.1	107666305_Contig_3899_Len339	339	33.0383480826
C4E06_RS12680_WP_107668398.1	107668398_Contig_2449_Len717	717	39.0516039052
C4E06_RS25645_WP_107671180.1	107671180_Contig_4595_Len210	210	43.8095238095
C4E06_RS05075_WP_107667095.1	107667095_Contig_4693_Len189	189	43.9153439153
C4E06_RS27000_WP_107671400.1	107671400_Contig_2524_Len690	690	41.4492753623
C4E06_RS16270_WP_107669007.1	107669007_Contig_3305_Len462	462	43.0735930736
C4E06_RS00685_WP_107666316.1	107666316_Contig_3228_Len483	483	36.6459627329
C4E06_RS20515_WP_107670283.1	107670283_Contig_4454_Len228	228	29.3859649123
C4E06_RS10910_WP_107668078.1	107668078_Contig_4278_Len258	258	29.0697674419
C4E06_RS08970_WP_107667766.1	107667766_Contig_2809_Len603	603	45.1077943615
C4E06_RS14465_WP_107668708.1	107668708_Contig_2031_Len843	843	31.3167259786
C4E06_RS00980_WP_107666372.1	107666372_Contig_376_Len1848	1848	39.3398268398
C4E06_RS22575_WP_107670661.1	107670661_Contig_2986_Len555	555	30.8108108108
C4E06_RS23260_WP_107670749.1	107670749_Contig_4167_Len282	282	35.4609929078
C4E06_RS09100_WP_107667789.1	107667789_Contig_1400_Len1080	1080	43.6111111111
C4E06_RS09875_WP_107667920.1	107667920_Contig_451_Len1734	1734	33.7370242215
C4E06_RS10180_WP_107667969.1	107667969_Contig_3824_Len351	351	41.0256410256
C4E06_RS25280_WP_107671120.1	107671120_Contig_1355_Len1095	1095	38.7214611872
C4E06_RS15520_WP_107668899.1	107668899_Contig_1116_Len1203	1203	46.3840399002
C4E06_RS25205_WP_107671107.1	107671107_Contig_2939_Len567	567	48.5008818342
