Original Name	New Name	Seq Length	 Seq GC
N9414_RS17055_WP_006197974.1	006197974_Contig_3407_Len384	384	42.7083333333
N9414_RS13765_WP_006197262.1	006197262_Contig_484_Len1668	1668	44.2446043165
N9414_RS24405_WP_081450157.1	081450157_Contig_4256_Len195	195	44.1025641026
N9414_RS21060_WP_006198857.1	006198857_Contig_736_Len1425	1425	33.1929824561
N9414_RS03795_WP_006194893.1	006194893_Contig_1547_Len1011	1011	37.5865479723
N9414_RS19955_WP_006198598.1	006198598_Contig_1591_Len993	993	38.5699899295
N9414_RS03360_WP_006194806.1	006194806_Contig_3353_Len399	399	36.5914786967
N9414_RS03650_WP_006194866.1	006194866_Contig_2925_Len522	522	45.9770114943
N9414_RS02200_WP_006194547.1	006194547_Contig_883_Len1329	1329	45.5229495862
N9414_RS23755_WP_071839313.1	071839313_Contig_4359_Len165	165	45.4545454545
N9414_RS12235_WP_006196948.1	006196948_Contig_3668_Len321	321	42.3676012461
N9414_RS06765_WP_006195631.1	006195631_Contig_2314_Len726	726	40.6336088154
N9414_RS08955_WP_006196150.1	006196150_Contig_412_Len1782	1782	37.8787878788
N9414_RS09825_WP_042202167.1	042202167_Contig_3743_Len303	303	44.2244224422
N9414_RS15895_WP_006197729.1	006197729_Contig_4254_Len195	195	43.5897435897
N9414_RS24470_WP_086000866.1	086000866_Contig_2940_Len513	513	72.7095516569
N9414_RS09560_WP_017804417.1	017804417_Contig_3261_Len423	423	41.6075650118
N9414_RS19595_WP_006198516.1	006198516_Contig_2756_Len582	582	35.7388316151
N9414_RS06465_WP_006195550.1	006195550_Contig_2461_Len678	678	42.9203539823
N9414_RS19710_WP_006198549.1	006198549_Contig_4328_Len180	180	41.6666666667
N9414_RS18405_WP_006198260.1	006198260_Contig_2250_Len747	747	44.0428380187
N9414_RS24450_WP_081450165.1	081450165_Contig_3714_Len309	309	50.8090614887
N9414_RS15185_WP_006197572.1	006197572_Contig_3159_Len450	450	39.7777777778
N9414_RS17230_WP_006198012.1	006198012_Contig_2467_Len675	675	39.4074074074
N9414_RS01810_WP_006194463.1	006194463_Contig_2351_Len717	717	42.3988842399
N9414_RS02050_WP_006194516.1	006194516_Contig_201_Len2343	2343	39.6927016645
N9414_RS15485_WP_006197644.1	006197644_Contig_2118_Len792	792	43.3080808081
N9414_RS18810_WP_006198345.1	006198345_Contig_4089_Len225	225	43.5555555556
N9414_RS06560_WP_006195577.1	006195577_Contig_3050_Len477	477	46.9601677149
N9414_RS15240_WP_006197585.1	006197585_Contig_2774_Len576	576	37.6736111111
N9414_RS04935_WP_006195143.1	006195143_Contig_1530_Len1017	1017	45.0344149459
N9414_RS17940_WP_006198161.1	006198161_Contig_3923_Len258	258	39.9224806202
N9414_RS16385_WP_006197831.1	006197831_Contig_2324_Len723	723	34.9930843707
N9414_RS19950_WP_006198597.1	006198597_Contig_1824_Len900	900	39.6666666667
N9414_RS04675_WP_006195074.1	006195074_Contig_589_Len1545	1545	32.7508090615
N9414_RS06710_WP_006195619.1	006195619_Contig_250_Len2190	2190	35.0228310502
N9414_RS23320_WP_071839296.1	071839296_Contig_4230_Len201	201	36.3184079602
N9414_RS03980_WP_006194930.1	006194930_Contig_194_Len2382	2382	46.389588581
N9414_RS24530_WP_081450174.1	081450174_Contig_4420_Len60	60	40.0
N9414_RS11760_WP_006196853.1	006196853_Contig_3558_Len348	348	37.6436781609
N9414_RS11890_WP_006196880.1	006196880_Contig_3597_Len339	339	46.3126843658
N9414_RS20315_WP_006198676.1	006198676_Contig_2140_Len783	783	45.466155811
N9414_RS07255_WP_006195732.1	006195732_Contig_4303_Len186	186	38.1720430108
N9414_RS11240_WP_006196742.1	006196742_Contig_3698_Len315	315	45.0793650794
N9414_RS02875_WP_006194697.1	006194697_Contig_4031_Len240	240	42.5
N9414_RS10020_WP_071839295.1	071839295_Contig_91_Len3123	3123	44.5084854307
N9414_RS05370_WP_006195255.1	006195255_Contig_358_Len1899	1899	44.6024223275
N9414_RS11070_WP_081450153.1	081450153_Contig_1440_Len1056	1056	46.6856060606
N9414_RS03805_WP_006194894.1	006194894_Contig_3366_Len396	396	35.8585858586
N9414_RS11195_WP_006196733.1	006196733_Contig_3535_Len354	354	43.7853107345
N9414_RS19405_WP_006198472.1	006198472_Contig_2937_Len516	516	38.9534883721
N9414_RS03120_WP_006194754.1	006194754_Contig_3499_Len366	366	44.5355191257
N9414_RS19905_WP_006198588.1	006198588_Contig_532_Len1602	1602	43.5081148564
N9414_RS11120_WP_006196717.1	006196717_Contig_3116_Len459	459	45.9694989107
N9414_RS12490_WP_006196997.1	006196997_Contig_3268_Len420	420	36.6666666667
N9414_RS03675_WP_006194870.1	006194870_Contig_1802_Len909	909	45.5445544554
N9414_RS15205_WP_006197576.1	006197576_Contig_1909_Len867	867	45.5594002307
N9414_RS13830_WP_006197276.1	006197276_Contig_3841_Len279	279	39.0681003584
N9414_RS04340_WP_006195001.1	006195001_Contig_1700_Len951	951	43.1125131441
N9414_RS19150_WP_006198427.1	006198427_Contig_2354_Len714	714	44.6778711485
N9414_RS12370_WP_006196975.1	006196975_Contig_348_Len1917	1917	44.9660928534
N9414_RS13125_WP_017804386.1	017804386_Contig_127_Len2790	2790	41.6845878136
N9414_RS19030_WP_006198395.1	006198395_Contig_795_Len1389	1389	37.8689704824
N9414_RS16780_WP_006197919.1	006197919_Contig_2384_Len705	705	44.1134751773
N9414_RS11570_WP_006196811.1	006196811_Contig_1428_Len1059	1059	45.2313503305
N9414_RS10185_WP_006196518.1	006196518_Contig_784_Len1395	1395	45.4480286738
N9414_RS20780_WP_006198788.1	006198788_Contig_2200_Len765	765	47.1895424837
N9414_RS13535_WP_006197213.1	006197213_Contig_2408_Len693	693	39.1053391053
N9414_RS12010_WP_006196906.1	006196906_Contig_2070_Len807	807	45.1053283767
N9414_RS00300_WP_006194142.1	006194142_Contig_2340_Len720	720	41.1111111111
N9414_RS04620_WP_006195062.1	006195062_Contig_4060_Len234	234	44.8717948718
N9414_RS12105_WP_006196925.1	006196925_Contig_2782_Len573	573	45.7242582897
N9414_RS13145_WP_006197134.1	006197134_Contig_1307_Len1113	1113	41.4195867026
N9414_RS23410_WP_071839361.1	071839361_Contig_4340_Len180	180	38.8888888889
N9414_RS00930_WP_006194276.1	006194276_Contig_3791_Len294	294	43.537414966
N9414_RS13245_WP_006197152.1	006197152_Contig_2815_Len558	558	44.982078853
N9414_RS11425_WP_017804342.1	017804342_Contig_2109_Len795	795	42.893081761
N9414_RS05590_WP_006195300.1	006195300_Contig_156_Len2604	2604	45.4685099846
N9414_RS20755_WP_006198783.1	006198783_Contig_2505_Len660	660	40.4545454545
N9414_RS12080_WP_006196920.1	006196920_Contig_872_Len1335	1335	45.393258427
N9414_RS12345_WP_006196970.1	006196970_Contig_1096_Len1209	1209	42.7626137304
N9414_RS08100_WP_006195950.1	006195950_Contig_5_Len7923	7923	40.9567083176
N9414_RS02970_WP_006194719.1	006194719_Contig_1261_Len1137	1137	41.4248021108
N9414_RS24675_WP_086000868.1	086000868_Contig_4171_Len210	210	38.5714285714
N9414_RS02310_WP_006194571.1	006194571_Contig_2244_Len753	753	46.3479415671
N9414_RS20585_WP_017804048.1	017804048_Contig_4201_Len204	204	32.3529411765
N9414_RS18265_WP_006198230.1	006198230_Contig_710_Len1443	1443	47.9556479556
N9414_RS09600_WP_006196349.1	006196349_Contig_1626_Len978	978	39.8773006135
N9414_RS02065_WP_006194519.1	006194519_Contig_4103_Len225	225	33.7777777778
N9414_RS20445_WP_006198705.1	006198705_Contig_2116_Len792	792	48.4848484848
N9414_RS15400_WP_006197621.1	006197621_Contig_3071_Len471	471	46.7091295117
N9414_RS18680_WP_042202841.1	042202841_Contig_134_Len2703	2703	47.2068072512
N9414_RS06460_WP_006195549.1	006195549_Contig_1118_Len1197	1197	41.6040100251
N9414_RS08315_WP_006195992.1	006195992_Contig_1304_Len1116	1116	39.6953405018
N9414_RS13695_WP_006197246.1	006197246_Contig_3375_Len393	393	42.2391857506
N9414_RS15540_WP_006197655.1	006197655_Contig_2507_Len660	660	41.2121212121
N9414_RS12210_WP_006194894.1	006194894_Contig_3360_Len396	396	35.8585858586
N9414_RS12150_WP_006196933.1	006196933_Contig_3885_Len267	267	40.4494382022
N9414_RS11990_WP_006196902.1	006196902_Contig_1971_Len843	843	44.128113879
N9414_RS01650_WP_006194429.1	006194429_Contig_2378_Len708	708	44.3502824859
N9414_RS17545_WP_006198076.1	006198076_Contig_3526_Len357	357	41.1764705882
N9414_RS24160_WP_081450173.1	081450173_Contig_679_Len1470	1470	41.0204081633
N9414_RS08745_WP_006196081.1	006196081_Contig_2574_Len636	636	46.0691823899
