Original Name	New Name	Seq Length	 Seq GC
FIS9605_RS0119585_WP_026734113.1	026734113_Contig_796_Len1659	1659	40.6871609403
FIS9605_RS0100840_WP_026730889.1	026730889_Contig_4864_Len408	408	39.7058823529
FIS9605_RS36615_WP_035139481.1	035139481_Contig_4336_Len510	510	32.9411764706
FIS9605_RS0128335_WP_026735594.1	026735594_Contig_5289_Len336	336	41.0714285714
FIS9605_RS0107090_WP_026731969.1	026731969_Contig_2144_Len1044	1044	44.2528735632
FIS9605_RS0123010_WP_026734702.1	026734702_Contig_3043_Len813	813	46.3714637146
FIS9605_RS36930_WP_051469981.1	051469981_Contig_2298_Len996	996	36.2449799197
FIS9605_RS0134650_WP_026736564.1	026736564_Contig_4319_Len516	516	34.3023255814
FIS9605_RS0124480_WP_026734950.1	026734950_Contig_1319_Len1341	1341	43.2513049963
FIS9605_RS41330_WP_072032429.1	072032429_Contig_6093_Len213	213	43.1924882629
FIS9605_RS0130540_WP_026735953.1	026735953_Contig_2550_Len930	930	42.7956989247
FIS9605_RS0135665_WP_026736735.1	026736735_Contig_5169_Len357	357	38.3753501401
FIS9605_RS0134950_WP_026736617.1	026736617_Contig_3816_Len630	630	43.4920634921
FIS9605_RS0121885_WP_026734501.1	026734501_Contig_442_Len2151	2151	47.7917247792
FIS9605_RS0133445_WP_026736361.1	026736361_Contig_4221_Len537	537	43.947858473
FIS9605_RS0121660_WP_026734464.1	026734464_Contig_3210_Len774	774	42.3772609819
FIS9605_RS38250_WP_082209862.1	082209862_Contig_3237_Len768	768	36.71875
FIS9605_RS0104695_WP_026731546.1	026731546_Contig_908_Len1575	1575	44.6984126984
FIS9605_RS0124390_WP_026734935.1	026734935_Contig_5531_Len294	294	45.2380952381
FIS9605_RS0119190_WP_026734052.1	026734052_Contig_4751_Len429	429	42.4242424242
FIS9605_RS0118205_WP_026733882.1	026733882_Contig_5564_Len288	288	44.7916666667
FIS9605_RS0103325_WP_026731314.1	026731314_Contig_5414_Len312	312	41.9871794872
FIS9605_RS0120955_WP_026734341.1	026734341_Contig_5194_Len351	351	47.2934472934
FIS9605_RS0122120_WP_026734546.1	026734546_Contig_2128_Len1050	1050	46.4761904762
FIS9605_RS0102195_WP_026731125.1	026731125_Contig_4748_Len429	429	37.5291375291
FIS9605_RS0132275_WP_026736202.1	026736202_Contig_2924_Len843	843	51.3641755635
FIS9605_RS38445_WP_035140289.1	035140289_Contig_1841_Len1140	1140	42.1929824561
FIS9605_RS37050_WP_082209760.1	082209760_Contig_4615_Len453	453	47.0198675497
FIS9605_RS37105_WP_051469998.1	051469998_Contig_3683_Len660	660	35.7575757576
FIS9605_RS0128875_WP_026731329.1	026731329_Contig_4431_Len489	489	39.672801636
FIS9605_RS0111650_WP_035139538.1	035139538_Contig_837_Len1626	1626	50.24600246
FIS9605_RS0133430_WP_026736358.1	026736358_Contig_3961_Len597	597	46.0636515913
FIS9605_RS0121340_WP_026734410.1	026734410_Contig_1893_Len1125	1125	44.3555555556
FIS9605_RS0106345_WP_082209733.1	082209733_Contig_2243_Len1014	1014	37.1794871795
FIS9605_RS0101565_WP_026731020.1	026731020_Contig_4616_Len453	453	41.9426048565
FIS9605_RS0130670_WP_026735972.1	026735972_Contig_3252_Len765	765	42.3529411765
FIS9605_RS0131030_WP_026736023.1	026736023_Contig_5253_Len342	342	40.6432748538
FIS9605_RS0133255_WP_026736338.1	026736338_Contig_1120_Len1434	1434	47.0711297071
FIS9605_RS0134495_WP_026736540.1	026736540_Contig_112_Len3285	3285	47.5799086758
FIS9605_RS0126750_WP_026735324.1	026735324_Contig_5109_Len369	369	41.4634146341
FIS9605_RS0102360_WP_026731149.1	026731149_Contig_3424_Len720	720	44.3055555556
FIS9605_RS0109965_WP_026732462.1	026732462_Contig_949_Len1545	1545	46.6019417476
FIS9605_RS0107420_WP_026732026.1	026732026_Contig_3325_Len744	744	43.0107526882
FIS9605_RS0107180_WP_026731985.1	026731985_Contig_602_Len1887	1887	45.8399576047
FIS9605_RS0111065_WP_026732649.1	026732649_Contig_3558_Len687	687	40.7569141194
FIS9605_RS0122300_WP_026734578.1	026734578_Contig_903_Len1581	1581	47.0588235294
FIS9605_RS0118645_WP_026733960.1	026733960_Contig_1300_Len1347	1347	42.7616926503
FIS9605_RS0122350_WP_026734587.1	026734587_Contig_430_Len2166	2166	47.0452446907
FIS9605_RS0106335_WP_051469939.1	051469939_Contig_5702_Len264	264	40.1515151515
FIS9605_RS0123960_WP_026734859.1	026734859_Contig_1980_Len1098	1098	38.160291439
FIS9605_RS0128350_WP_082209872.1	082209872_Contig_1918_Len1119	1119	37.3547810545
FIS9605_RS0102025_WP_026731099.1	026731099_Contig_156_Len2973	2973	40.1950891356
FIS9605_RS0120905_WP_026734331.1	026734331_Contig_2951_Len837	837	46.9534050179
FIS9605_RS0132585_WP_026736247.1	026736247_Contig_3977_Len594	594	45.4545454545
FIS9605_RS0134490_WP_026736539.1	026736539_Contig_2993_Len828	828	42.8743961353
FIS9605_RS0125035_WP_026735029.1	026735029_Contig_5476_Len303	303	41.2541254125
FIS9605_RS0131850_WP_026736139.1	026736139_Contig_5877_Len240	240	47.5
FIS9605_RS0101440_WP_026730997.1	026730997_Contig_2763_Len879	879	36.7463026166
FIS9605_RS39890_WP_051470083.1	051470083_Contig_441_Len2151	2151	45.3277545328
FIS9605_RS0103035_WP_026731262.1	026731262_Contig_899_Len1581	1581	46.679316888
FIS9605_RS0110420_WP_026732543.1	026732543_Contig_3790_Len633	633	47.551342812
FIS9605_RS0106565_WP_026731877.1	026731877_Contig_5209_Len348	348	49.1379310345
FIS9605_RS0127755_WP_026735494.1	026735494_Contig_4819_Len417	417	45.8033573141
FIS9605_RS0129765_WP_026735841.1	026735841_Contig_2549_Len930	930	40.9677419355
FIS9605_RS0131315_WP_026736063.1	026736063_Contig_1449_Len1287	1287	45.6099456099
FIS9605_RS0110390_WP_026732537.1	026732537_Contig_4728_Len432	432	50.462962963
FIS9605_RS0106560_WP_082209734.1	082209734_Contig_3168_Len780	780	48.7179487179
FIS9605_RS38440_WP_051470160.1	051470160_Contig_3919_Len606	606	45.0495049505
FIS9605_RS0104545_WP_026731524.1	026731524_Contig_6185_Len201	201	40.2985074627
FIS9605_RS37190_WP_035139885.1	035139885_Contig_27_Len4554	4554	47.2990777339
FIS9605_RS0131035_WP_026736024.1	026736024_Contig_5358_Len324	324	42.5925925926
FIS9605_RS0106725_WP_026731903.1	026731903_Contig_4562_Len462	462	35.7142857143
FIS9605_RS0116600_WP_026733605.1	026733605_Contig_4239_Len531	531	45.3860640301
FIS9605_RS0129570_WP_026735806.1	026735806_Contig_5549_Len291	291	39.5189003436
FIS9605_RS0132200_WP_026736192.1	026736192_Contig_5148_Len363	363	30.303030303
FIS9605_RS0122565_WP_026734625.1	026734625_Contig_5178_Len354	354	40.395480226
FIS9605_RS0121645_WP_026734461.1	026734461_Contig_3629_Len675	675	44.2962962963
FIS9605_RS0124420_WP_026734941.1	026734941_Contig_2820_Len867	867	43.137254902
FIS9605_RS0104920_WP_026731584.1	026731584_Contig_3088_Len798	798	42.7318295739
FIS9605_RS0106015_WP_026731779.1	026731779_Contig_2318_Len990	990	39.2929292929
FIS9605_RS0111395_WP_026732705.1	026732705_Contig_3942_Len600	600	46.3333333333
FIS9605_RS0117015_WP_026733680.1	026733680_Contig_5563_Len288	288	44.7916666667
FIS9605_RS0126145_WP_026735219.1	026735219_Contig_4606_Len456	456	42.9824561404
FIS9605_RS0105755_WP_026731733.1	026731733_Contig_2542_Len930	930	41.1827956989
FIS9605_RS0115415_WP_026733392.1	026733392_Contig_1444_Len1287	1287	43.5897435897
FIS9605_RS0129400_WP_026735776.1	026735776_Contig_1786_Len1164	1164	47.5085910653
FIS9605_RS0107285_WP_026732004.1	026732004_Contig_154_Len2976	2976	44.0860215054
FIS9605_RS0107875_WP_026732098.1	026732098_Contig_4007_Len585	585	40.8547008547
FIS9605_RS0108665_WP_026732239.1	026732239_Contig_117_Len3222	3222	46.5859714463
FIS9605_RS0112105_WP_026732816.1	026732816_Contig_943_Len1551	1551	43.0689877498
FIS9605_RS40375_WP_035140129.1	035140129_Contig_45_Len3966	3966	46.6212808875
FIS9605_RS0100435_WP_026730820.1	026730820_Contig_5096_Len369	369	45.2574525745
FIS9605_RS0128240_WP_026735579.1	026735579_Contig_4944_Len396	396	45.202020202
FIS9605_RS0122575_WP_026734626.1	026734626_Contig_1475_Len1278	1278	44.2097026604
FIS9605_RS0128495_WP_035140297.1	035140297_Contig_4507_Len477	477	39.6226415094
FIS9605_RS40075_WP_051470191.1	051470191_Contig_3111_Len795	795	54.7169811321
FIS9605_RS0135150_WP_026736650.1	026736650_Contig_5277_Len339	339	38.9380530973
FIS9605_RS0121930_WP_026734510.1	026734510_Contig_5032_Len381	381	38.845144357
FIS9605_RS0114055_WP_026733156.1	026733156_Contig_3073_Len804	804	44.776119403
FIS9605_RS0125205_WP_026735057.1	026735057_Contig_2276_Len1005	1005	45.3731343284
FIS9605_RS0108675_WP_026732241.1	026732241_Contig_484_Len2082	2082	46.8299711816
FIS9605_RS0100570_WP_026730841.1	026730841_Contig_2852_Len858	858	43.8228438228
FIS9605_RS0101180_WP_026730950.1	026730950_Contig_3060_Len807	807	45.229244114
FIS9605_RS0131690_WP_026736114.1	026736114_Contig_6047_Len219	219	46.1187214612
FIS9605_RS0135420_WP_026736697.1	026736697_Contig_1311_Len1344	1344	41.2946428571
FIS9605_RS0134755_WP_026736580.1	026736580_Contig_2413_Len969	969	42.2084623323
FIS9605_RS0116565_WP_026733598.1	026733598_Contig_337_Len2358	2358	49.1942324003
FIS9605_RS0121020_WP_026734352.1	026734352_Contig_867_Len1608	1608	46.0199004975
FIS9605_RS41180_WP_072032413.1	072032413_Contig_6173_Len204	204	40.1960784314
FIS9605_RS0114130_WP_026733169.1	026733169_Contig_654_Len1812	1812	47.3509933775
FIS9605_RS39935_WP_051470097.1	051470097_Contig_5048_Len378	378	49.4708994709
FIS9605_RS0119005_WP_026734021.1	026734021_Contig_2462_Len954	954	46.6457023061
FIS9605_RS0104790_WP_026731562.1	026731562_Contig_6020_Len219	219	30.1369863014
FIS9605_RS0112410_WP_026732864.1	026732864_Contig_1797_Len1158	1158	44.0414507772
FIS9605_RS0124240_WP_026734908.1	026734908_Contig_1611_Len1218	1218	50.0
FIS9605_RS0120390_WP_026734246.1	026734246_Contig_4265_Len525	525	45.7142857143
FIS9605_RS0124205_WP_026734903.1	026734903_Contig_4942_Len396	396	44.696969697
FIS9605_RS0107080_WP_026731967.1	026731967_Contig_2974_Len831	831	42.238267148
FIS9605_RS0108115_WP_026732142.1	026732142_Contig_1431_Len1290	1290	48.8372093023
FIS9605_RS0119800_WP_026734151.1	026734151_Contig_1221_Len1383	1383	41.6485900217
FIS9605_RS0114150_WP_026733173.1	026733173_Contig_3296_Len753	753	45.4183266932
FIS9605_RS0134545_WP_026736550.1	026736550_Contig_3923_Len606	606	45.3795379538
